id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
24428,The Avengers,220000000,1518815515,7.7,30572,2012-04-25,143,"Science Fiction, Action, Adventure",en,['United States of America'],Marvel Studios
49026,The Dark Knight Rises,250000000,1081041287,7.781,22537,2012-07-17,165,"Action, Crime, Drama, Thriller",en,"['United Kingdom', 'United States of America']","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures"
49051,The Hobbit: An Unexpected Journey,250000000,1021103568,7.356,18247,2012-12-12,169,"Adventure, Fantasy, Action",en,"['New Zealand', 'United States of America']","New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films, Warner Bros. Pictures"
22970,The Cabin in the Woods,30000000,71038838,6.623,7764,2012-04-12,95,"Horror, Mystery",en,['United States of America'],"Lionsgate, Mutant Enemy Productions"
73723,The Lorax,70000000,349305397,6.5,3502,2012-03-01,86,"Animation, Family",en,"['Japan', 'United States of America']","Universal Pictures, Illumination, dentsu"
1930,The Amazing Spider-Man,215000000,757930663,6.706,17209,2012-06-23,136,"Action, Adventure, Science Fiction",en,['United States of America'],"Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions"
125509,Wrong Turn 5: Bloodlines,3000000,0,5.4,922,2012-10-23,91,"Horror, Thriller",en,"['Germany', 'United States of America']","Summit Entertainment, Constantin Film"
57214,Project X,12000000,102731865,6.881,6289,2012-03-01,88,Comedy,en,['United States of America'],"Silver Pictures, Green Hat Films"
50620,The Twilight Saga: Breaking Dawn - Part 2,120000000,829747654,6.5,8798,2012-11-13,115,"Adventure, Fantasy, Drama, Romance",en,['United States of America'],"Summit Entertainment, Temple Hill Entertainment, Sunswept Entertainment, Lionsgate"
76492,Hotel Transylvania,85000000,358375603,7.0,8520,2012-09-20,91,"Animation, Comedy, Family, Fantasy",en,['United States of America'],"Columbia Pictures, Sony Pictures Animation"
62177,Brave,185000000,539000000,7.0,13256,2012-06-21,93,"Animation, Adventure, Comedy, Family, Action, Fantasy",en,['United States of America'],"Walt Disney Pictures, Pixar"
82690,Wreck-It Ralph,165000000,471222889,7.339,12193,2012-11-01,101,"Family, Animation, Comedy, Adventure",en,['United States of America'],"Walt Disney Animation Studios, Walt Disney Pictures"
72545,Journey 2: The Mysterious Island,79000000,355692760,6.2,4192,2012-01-19,94,"Adventure, Action, Science Fiction",en,['United States of America'],"Walden Media, New Line Cinema, Contrafilm, Warner Bros. Pictures"
107257,A Perfect Ending,175000,0,6.2,118,2012-06-01,110,"Drama, Romance",en,['United States of America'],Soul Kiss Films
81188,Rise of the Guardians,145000000,306941670,7.367,6626,2012-11-21,97,"Family, Animation, Fantasy, Action, Adventure",en,['United States of America'],DreamWorks Animation
57800,Ice Age: Continental Drift,95000000,877244782,6.378,7496,2012-06-27,88,"Animation, Comedy, Adventure, Family",en,['United States of America'],"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox"
70981,Prometheus,130000000,403354469,6.6,12082,2012-05-30,124,"Science Fiction, Adventure, Mystery",en,['United States of America'],"Dune Entertainment, 20th Century Fox, Brandywine Productions, Scott Free Productions"
57165,Wrath of the Titans,150000000,301970083,5.745,4144,2012-03-28,99,"Fantasy, Adventure, Action",en,"['Spain', 'United States of America']","Thunder Road, Legendary Pictures, Cott Productions, Furia de Titanes II, A.I.E., Warner Bros. Pictures"
80321,Madagascar 3: Europe's Most Wanted,145000000,746900000,6.614,6062,2012-06-06,93,"Animation, Family, Comedy, Adventure",en,['United States of America'],"DreamWorks Animation, Paramount Pictures, Pacific Data Images"
75780,Jack Reacher,60000000,218300000,6.6,6928,2012-12-20,130,"Crime, Drama, Thriller, Action",en,['United States of America'],"Paramount Pictures, Skydance Media, TC Productions"
68718,Django Unchained,100000000,425368238,8.181,26048,2012-12-25,165,"Drama, Western",en,['United States of America'],"The Weinstein Company, Columbia Pictures"
75258,Secret of the Wings,0,0,7.2,1211,2012-08-17,75,"Animation, Family, Fantasy, Adventure",en,"['India', 'United States of America']","DisneyToon Studios, Prana Animation Studios"
77174,ParaNorman,60000000,107139399,6.988,2484,2012-08-03,90,"Family, Animation, Adventure, Comedy",en,['United States of America'],Laika
