id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
671,Harry Potter and the Philosopher's Stone,125000000,976475550,7.9,27192,2001-11-16,152,"Adventure, Fantasy",en,"['United Kingdom', 'United States of America']","Warner Bros. Pictures, Heyday Films, 1492 Pictures"
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,8.416,24970,2001-12-18,179,"Adventure, Fantasy, Action",en,"['New Zealand', 'United States of America']","New Line Cinema, WingNut Films, The Saul Zaentz Company"
808,Shrek,60000000,488628188,7.744,16985,2001-05-18,90,"Animation, Comedy, Fantasy, Adventure, Family",en,['United States of America'],"Pacific Data Images, DreamWorks Animation"
1734,The Mummy Returns,98000000,443280904,6.374,6955,2001-05-04,130,"Adventure, Action, Fantasy",en,['United States of America'],"Universal Pictures, Alphaville Films"
585,"Monsters, Inc.",115000000,579700000,7.846,18299,2001-11-01,92,"Animation, Comedy, Family",en,['United States of America'],Pixar
4248,Scary Movie 2,45000000,141220678,5.796,4580,2001-07-04,82,Comedy,en,"['Canada', 'United States of America']","Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films"
9880,The Princess Diaries,37000000,165335153,6.956,4879,2001-08-03,115,"Comedy, Family, Romance",en,['United States of America'],"Bottom of the Ninth Productions, Walt Disney Pictures, BrownHouse Productions"
855,Black Hawk Down,92000000,172989651,7.4,5662,2001-12-28,145,"Action, War, History",en,"['United Kingdom', 'United States of America']","Jerry Bruckheimer Films, Revolution Studios, Scott Free Productions"
1995,Lara Croft: Tomb Raider,115000000,274700000,5.895,6003,2001-06-11,100,"Adventure, Fantasy, Action, Thriller",en,"['Germany', 'Japan', 'United Kingdom', 'United States of America']","Paramount Pictures, Mutual Film Company, Lawrence Gordon Productions, Marubeni, Eidos Films, BBC Film, KFP Produktions, TOHO-TOWA, H2L Media Group, Tele München"
2294,Jay and Silent Bob Strike Back,22000000,33788161,6.4,1520,2001-08-22,104,Comedy,en,['United States of America'],"Dimension Films, View Askew Productions"
