id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
354912,Coco,175000000,807816196,8.212,19241,2017-10-27,105,"Family, Animation, Music, Adventure",en,['United States of America'],"Pixar, Walt Disney Pictures"
181808,Star Wars: The Last Jedi,200000000,1332698830,6.792,15156,2017-12-13,152,"Adventure, Action, Science Fiction",en,['United States of America'],Lucasfilm Ltd.
260514,Cars 3,175000000,383925276,6.9,5730,2017-06-15,102,"Family, Animation, Adventure, Comedy",en,['United States of America'],Pixar
315635,Spider-Man: Homecoming,175000000,880166924,7.336,21599,2017-07-05,133,"Action, Adventure, Science Fiction, Drama",en,['United States of America'],"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures"
141052,Justice League,300000000,661326987,6.083,12847,2017-11-15,120,"Action, Adventure, Science Fiction",en,['United States of America'],"RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films"
126889,Alien: Covenant,97000000,240891763,6.1,8529,2017-05-09,122,"Science Fiction, Horror, Thriller",en,['United States of America'],"20th Century Fox, Brandywine Productions, Scott Free Productions"
47971,xXx: Return of Xander Cage,85000000,346118277,6.1,8820,2017-01-13,107,"Action, Adventure, Crime",en,"['Canada', 'China', 'United States of America']","Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount Pictures"
335988,Transformers: The Last Knight,217000000,605425157,6.1,6115,2017-06-16,154,"Action, Adventure, Science Fiction",en,['United States of America'],"Paramount Pictures, di Bonaventura Pictures, Ian Bryce Productions, DeSanto/Murphy Productions"
335984,Blade Runner 2049,150000000,259239658,7.568,13502,2017-10-04,164,"Science Fiction, Drama",en,"['Canada', 'United Kingdom', 'United States of America']","Alcon Entertainment, Columbia Pictures, Scott Free Productions, Bud Yorkin Productions, Torridon Films, 16:14 Entertainment, Thunderbird Entertainment"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,795900000,6.654,11866,2017-05-23,128,"Adventure, Action, Fantasy",en,['United States of America'],"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil"
321612,Beauty and the Beast,160000000,1266115964,7.0,15352,2017-03-16,129,"Family, Fantasy, Romance",en,['United States of America'],"Walt Disney Pictures, Mandeville Films"
346364,It,35000000,703000000,7.2,18889,2017-09-06,135,Horror,en,['United States of America'],"New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions"
449503,Kill 'em All,0,0,5.6,141,2017-06-06,96,"Action, Crime",en,['United States of America'],"March On Productions, Arramis Films, ITN Films, Kill 'Em All Productions"
