id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
533535,Deadpool & Wolverine,200000000,1331837956,7.724,4270,2024-07-24,128,"Action, Comedy, Science Fiction",en,['United States of America'],"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment"
917496,Beetlejuice Beetlejuice,100000000,402822428,7.196,1044,2024-09-04,105,"Comedy, Fantasy, Horror",en,['United States of America'],"Warner Bros. Pictures, Geffen Pictures, Plan B Entertainment, Tim Burton Productions, Domain Entertainment, Tommy Harper Productions"
519182,Despicable Me 4,100000000,953140610,7.129,1942,2024-06-20,94,"Animation, Family, Comedy, Action",en,['United States of America'],"Universal Pictures, Illumination"
1022789,Inside Out 2,200000000,1682636477,7.629,4253,2024-06-11,97,"Animation, Family, Adventure, Comedy, Drama",en,['United States of America'],"Walt Disney Pictures, Pixar"
1184918,The Wild Robot,78000000,106137327,8.0,161,2024-09-12,102,"Animation, Science Fiction, Family",en,['United States of America'],DreamWorks Animation
957452,The Crow,50000000,13690814,5.676,556,2024-08-21,111,"Action, Fantasy, Horror, Thriller, Crime",en,"['France', 'United Kingdom', 'United States of America']","Davis Films, Pressman Film, Hassell Free Production, The Electric Shadow Company, 30WEST, Ashland Hill Media Finance"
1034541,Terrifier 3,2000000,2600000,7.5,18,2024-10-09,125,"Horror, Thriller",en,['United States of America'],"Cineverse, Bloody Disgusting, Dark Age Cinema, Fuzz on the Lens Productions, The Coven"
1114513,Speak No Evil,15000000,67344345,7.3,600,2024-09-11,110,"Horror, Thriller",en,['United States of America'],Blumhouse Productions
889737,Joker: Folie à Deux,195000000,114678467,5.8,634,2024-10-01,138,"Drama, Crime, Thriller",en,['United States of America'],"Warner Bros. Pictures, Joint Effort, Domain Entertainment"
877817,Wolfs,80000000,0,6.613,428,2024-09-20,108,"Comedy, Thriller, Action",en,['United States of America'],"Smoke House Pictures, Plan B Entertainment, Apple Studios"
1215162,Kill 'em All 2,0,0,6.994,86,2024-09-24,85,"Action, Crime, Thriller",en,"['Italy', 'United States of America']","Iervolino & Lady Bacardi Entertainment, Rodin Entertainment"
573435,Bad Boys: Ride or Die,100000000,402529640,7.523,2144,2024-06-05,115,"Action, Crime, Thriller, Comedy",en,['United States of America'],"Westbrook, Columbia Pictures, Don Simpson/Jerry Bruckheimer Films, 2.0 Entertainment"
1329336,The Bad Guys: Haunted Heist,0,0,7.4,38,2024-10-02,25,"Animation, Comedy",en,['United States of America'],DreamWorks Animation Television
1079091,It Ends with Us,25000000,334836337,7.0,729,2024-08-07,131,"Romance, Drama",en,['United States of America'],"Wayfarer Studios, Saks Picture Company, Columbia Pictures"
748230,Salem's Lot,0,0,6.347,199,2024-10-03,113,"Horror, Mystery",en,['United States of America'],"New Line Cinema, Atomic Monster, Vertigo Entertainment, Wolper Organization"
698687,Transformers One,75000000,97058804,7.5,129,2024-09-11,104,"Animation, Science Fiction, Adventure, Family, Action",en,['United States of America'],"Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment"
365177,Borderlands,115000000,30863794,5.9,666,2024-08-07,101,"Action, Science Fiction, Comedy",en,"['Luxembourg', 'United States of America']","Lionsgate, Arad Productions, Picturestart, Gearbox Studios, 2K, Hercules Film Fund"
949484,Hounds of War,0,0,6.5,80,2024-08-29,94,"Action, Thriller",en,['United States of America'],Juggernaut Productions
974262,Descendants: The Rise of Red,0,0,7.0,334,2024-07-11,92,"Fantasy, Adventure, Family, Comedy",en,['United States of America'],"Walt Disney Television, Suzanne Todd Productions, Potato Monkey Productions, GWave Productions"
945961,Alien: Romulus,80000000,341521150,7.053,1137,2024-08-13,119,"Horror, Science Fiction, Action",en,['United States of America'],"20th Century Studios, Scott Free Productions, Brandywine Productions"
840705,Blink Twice,20000000,43555474,6.802,609,2024-08-21,103,"Mystery, Thriller, Horror",en,['United States of America'],"Metro-Goldwyn-Mayer, Free Association, This Is Important, Bold Choices"
639720,IF,110000000,186240904,7.3,923,2024-05-08,104,"Comedy, Fantasy, Family",en,['United States of America'],"Paramount Pictures, Sunday Night Productions, Maximum Effort"
748783,The Garfield Movie,60000000,230295748,7.114,1002,2024-04-30,101,"Animation, Comedy, Family, Adventure, Action",en,"['Hong Kong', 'United Kingdom', 'United States of America']","Alcon Entertainment, DNEG, Wayfarer Studios, One Cool Group, Stage 6 Films, Andrews McMeel Entertainment, John Cohen Productions"
718821,Twisters,155000000,369590675,7.0,1536,2024-07-10,123,"Action, Adventure, Thriller",en,['United States of America'],"Universal Pictures, Warner Bros. Pictures, Amblin Entertainment, Domain Entertainment"
1052280,It's What's Inside,0,0,6.357,136,2024-01-19,103,"Comedy, Mystery, Science Fiction, Thriller",en,['United States of America'],"Edith Productions, Boldly Go Productions, Such Content"
1186532,The Forge,5000000,30631674,6.8,20,2024-08-22,123,"Drama, Family",en,['United States of America'],"Affirm Films, Kendrick Brothers, Provident Films"
1064028,Subservience,4400000,159422,6.7,173,2024-08-15,105,"Science Fiction, Thriller, Horror",en,['United States of America'],"Millennium Media, Campbell Grobman Films, XYZ Films"
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,100000000,0,4.0,1,2024-10-18,87,"Animation, Comedy, Adventure, Family",en,['United States of America'],Nickelodeon Movies
653346,Kingdom of the Planet of the Apes,160000000,397366385,7.117,2998,2024-05-08,145,"Science Fiction, Adventure, Action",en,['United States of America'],"20th Century Studios, Oddball Entertainment, Jason T. Reed Productions"
1087822,Hellboy: The Crooked Man,0,1289658,4.6,75,2024-08-29,100,"Fantasy, Horror, Action",en,"['Germany', 'United States of America']","Dark Horse Entertainment, Millennium Media, Telepool"
762441,A Quiet Place: Day One,67000000,260894737,6.8,1919,2024-06-26,99,"Horror, Science Fiction, Thriller",en,['United States of America'],"Paramount Pictures, Platinum Dunes, Sunday Night Productions"
718014,Hold Your Breath,0,0,6.103,73,2024-09-12,94,"Horror, Thriller, Drama",en,['United States of America'],"Secret Engine, Mad Dog Films, Searchlight Pictures"
807339,Apartment 7A,0,0,6.0,98,2024-09-20,106,"Horror, Thriller",en,['United States of America'],"Sunday Night Productions, Platinum Dunes, Paramount Pictures"
1029281,Strange Darling,4000000,3504687,6.9,113,2024-08-22,97,"Crime, Horror, Thriller",en,['United States of America'],"Miramax, Spooky Pictures"
786892,Furiosa: A Mad Max Saga,170000000,172775791,7.5,3222,2024-05-22,149,"Action, Adventure, Science Fiction",en,"['Australia', 'United States of America']","Warner Bros. Pictures, Kennedy Miller Mitchell, Domain Entertainment"
1012148,Chapel,0,0,5.854,24,2024-01-17,92,"Mystery, Thriller",en,[],
1190868,V/H/S/Beyond,0,0,6.836,70,2024-09-20,114,"Horror, Science Fiction, Thriller",en,['United States of America'],"Bloody Disgusting, Shudder, Cinepocalypse, Studio71"
1011985,Kung Fu Panda 4,80000000,543900620,7.095,2576,2024-03-02,94,"Animation, Family, Fantasy, Action",en,['United States of America'],DreamWorks Animation
912649,Venom: The Last Dance,110000000,0,0.0,0,2024-10-23,0,"Action, Science Fiction, Adventure",en,['United States of America'],"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions"
1284157,TMZ Presents: The Downfall of Diddy,0,0,5.9,10,2024-04-28,68,"Documentary, Crime",en,['United States of America'],"TMZ, EHM Productions, Harvey Levin Productions"
1139095,Little Bites,0,0,6.3,8,2024-10-04,106,Horror,en,['United States of America'],OneFox Productions
507241,The Killer's Game,30000000,5090881,5.976,41,2024-09-12,104,"Action, Comedy, Crime",en,['United States of America'],"STXfilms, Dogbone Entertainment, Mad Chance, Endurance Media, K. JAM Media"
1329912,Kung Fu Games,0,0,5.9,19,2024-08-23,94,Action,en,[],"Tiger Style Media, McIntosh Films, Topanga Venom Media"
1129598,Prey,0,0,6.307,243,2024-03-15,86,"Action, Thriller, Horror",en,['United States of America'],"The Barnum Picture Company, Green Light Pictures, Lucky 13 Productions"
1014661,House of Spoils,0,0,5.6,42,2024-09-21,101,"Horror, Thriller",en,['United States of America'],"Secret Engine, Divide / Conquer, Blumhouse Television, Amazon MGM Studios"
823464,Godzilla x Kong: The New Empire,150000000,567156493,7.16,3667,2024-03-27,115,"Action, Adventure, Science Fiction",en,['United States of America'],Legendary Pictures
1062215,Afraid,12000000,12567788,6.255,190,2024-08-28,84,"Horror, Science Fiction, Thriller",en,['United States of America'],"Blumhouse Productions, Depth of Field"
646097,Rebel Ridge,0,0,7.0,828,2024-08-27,132,"Crime, Action, Thriller, Drama",en,['United States of America'],"filmscience, Bonneville Pictures"
1226578,Longlegs,10000000,102469694,6.7,1007,2024-05-31,101,"Horror, Crime",en,"['Canada', 'United States of America']","C2 Motion Picture Group, Saturn Films, Oddfellows Entertainment, Traffic., Range Media Partners, Waypoint Entertainment"
1029235,Azrael,12000000,0,5.5,29,2024-09-27,86,"Action, Horror, Thriller",en,"['Estonia', 'United States of America']","C2 Motion Picture Group, Homeless Bob Production, Traffic."
929590,Civil War,50000000,0,6.932,2515,2024-04-10,109,"War, Action, Drama",en,"['Finland', 'United Kingdom', 'United States of America']","DNA Films, IPR.VC, A24"
1248753,Amber Alert,0,0,5.722,54,2024-09-27,91,"Thriller, Horror, Drama",en,['United States of America'],"Hungry Bull Productions, TPC, Bluefields Entertainment"
1360610,The Menendez Brothers,0,0,7.3,26,2024-10-07,116,"Documentary, Crime",en,['United States of America'],Campfire Studios
1201734,God of Pain,0,0,6.75,8,2024-08-20,100,"Horror, Science Fiction, Thriller",en,['United States of America'],"Inglewood Films, Chiyoko Productions, Dough Networkz, HarlowFX, Zepstone Media"
1291594,Beezel,0,0,6.556,18,2024-09-20,82,"Horror, Thriller",en,['United States of America'],Social House Films
704239,The Union,0,0,6.3,723,2024-08-15,109,"Action, Comedy",en,['United States of America'],"Municipal Pictures, Closest to the Hole Productions, Leverage Entertainment"
970347,The Killer,30000000,0,6.616,256,2024-08-22,126,"Action, Thriller, Crime",en,"['Canada', 'United States of America']","Universal Pictures, Atlas Entertainment, A Better Tomorrow Films, Entertainment One"
826510,Harold and the Purple Crayon,40000000,24982787,7.1,150,2024-07-31,90,"Adventure, Family, Fantasy, Comedy",en,['United States of America'],"Davis Entertainment, Columbia Pictures, TSG Entertainment"
5492,Gunner,20000000,0,5.3,85,2024-08-16,90,"Action, Thriller, Crime",en,['United States of America'],"Convergence Entertainment, Broken Road Productions"
1241982,Moana 2,0,0,0.0,0,2024-11-27,0,"Animation, Adventure, Family, Comedy",en,"['Canada', 'United States of America']","Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios"
1209290,Justice League: Crisis on Infinite Earths Part Three,0,0,7.482,199,2024-07-15,99,"Animation, Science Fiction, Action",en,['United States of America'],"Warner Bros. Animation, DC Entertainment"
666035,Wanted Man,0,0,6.9,71,2024-04-01,85,Action,en,['United States of America'],"Red Orm Productions Inc., Thor Pictures, Wonder Street, Millennium Media"
