id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
155,The Dark Knight,185000000,1004558444,8.515,32679,2008-07-16,152,"Drama, Action, Crime, Thriller",en,"['United Kingdom', 'United States of America']","DC, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures"
217,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,6.0,8204,2008-05-21,122,"Adventure, Action",en,['United States of America'],"Paramount Pictures, Lucasfilm Ltd."
1726,Iron Man,140000000,585174222,7.646,26192,2008-04-30,126,"Action, Science Fiction, Adventure",en,['United States of America'],"Marvel Studios, Marvel Entertainment, Fairview Entertainment"
8966,Twilight,37000000,393616788,6.3,13395,2008-11-20,122,"Fantasy, Drama, Romance",en,"['United Kingdom', 'United States of America']","Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Aura Films"
10681,WALL·E,180000000,521311860,8.1,18611,2008-06-22,98,"Animation, Family, Science Fiction",en,['United States of America'],"Pixar, Walt Disney Pictures"
11253,Hellboy II: The Golden Army,85000000,160388063,6.8,5115,2008-07-11,120,"Fantasy, Adventure, Action",en,"['Germany', 'Hungary', 'United States of America']","Universal Pictures, Dark Horse Entertainment, Internationale Filmproduktion Eagle, Mid Atlantic Films, Relativity Media, Lawrence Gordon Productions"
2454,The Chronicles of Narnia: Prince Caspian,225000000,419665568,6.6,6294,2008-05-15,150,"Adventure, Family, Fantasy",en,['United States of America'],"Walt Disney Pictures, Walden Media, Silverbell Films, Mark Johnson Productions"
9502,Kung Fu Panda,130000000,632091832,7.289,11470,2008-06-04,90,"Action, Adventure, Animation, Family, Comedy",en,['United States of America'],DreamWorks Animation
2253,Valkyrie,75000000,200276000,6.934,3649,2008-12-25,121,"Drama, Thriller, War",en,"['Germany', 'United States of America']","United Artists, Bad Hat Harry Productions, Achte Babelsberg Film"
1724,The Incredible Hulk,150000000,264770996,6.2,11637,2008-06-12,114,"Science Fiction, Action, Adventure",en,['United States of America'],"Marvel Studios, Valhalla Motion Pictures, Marvel Entertainment"
