id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
209112,Batman v Superman: Dawn of Justice,250000000,874362803,6.0,17820,2016-03-23,152,"Action, Adventure, Fantasy",en,['United States of America'],"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, DC Entertainment, Cruel & Unusual Films"
269149,Zootopia,150000000,1023784195,7.8,16140,2016-02-11,109,"Animation, Adventure, Family, Comedy",en,['United States of America'],"Walt Disney Animation Studios, Walt Disney Pictures"
293660,Deadpool,58000000,782837347,7.623,30829,2016-02-09,108,"Action, Adventure, Comedy",en,['United States of America'],"20th Century Fox, The Donners' Company, Genre Films, Marvel Entertainment"
296096,Me Before You,20000000,207945075,7.931,12289,2016-06-01,110,"Drama, Romance",en,['United States of America'],"New Line Cinema, Sunswept Entertainment, Metro-Goldwyn-Mayer"
223702,Sausage Party,19000000,140705322,5.749,7207,2016-07-11,89,"Adventure, Animation, Comedy, Fantasy",en,"['Canada', 'United States of America']","Columbia Pictures, Annapurna Pictures, Point Grey Pictures, Nitrogen Studios Canada"
324786,Hacksaw Ridge,40000000,175302354,8.197,13611,2016-10-07,139,"Drama, History, War",en,"['Australia', 'China', 'United Kingdom', 'United States of America']","Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Lionsgate, Kylin Pictures, Cosmos Filmed Entertainment"
259693,The Conjuring 2,40000000,322811702,7.294,8295,2016-06-08,134,Horror,en,['United States of America'],"New Line Cinema, The Safran Company, Atomic Monster, RatPac Entertainment"
246655,X-Men: Apocalypse,178000000,543934787,6.517,12861,2016-05-18,144,"Action, Adventure, Science Fiction, Fantasy",en,['United States of America'],"The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox, Marvel Entertainment, TSG Entertainment"
333371,10 Cloverfield Lane,15000000,110216998,6.994,7821,2016-03-10,104,"Thriller, Science Fiction, Drama, Horror",en,['United States of America'],Bad Robot
241259,Alice Through the Looking Glass,170000000,299457024,6.6,6360,2016-05-25,113,"Adventure, Family, Fantasy",en,"['United Kingdom', 'United States of America']","Legend3D, Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions"
332210,Storks,70000000,182379278,6.657,2311,2016-09-22,87,"Adventure, Animation, Comedy, Family",en,['United States of America'],"RatPac Entertainment, Warner Bros. Pictures Animation, Warner Bros. Pictures"
271110,Captain America: Civil War,250000000,1155046416,7.4,22524,2016-04-27,147,"Adventure, Action, Science Fiction",en,['United States of America'],Marvel Studios
259316,Fantastic Beasts and Where to Find Them,180000000,809342332,7.322,18631,2016-11-16,132,"Fantasy, Adventure",en,"['United Kingdom', 'United States of America']","Heyday Films, Warner Bros. Pictures"
348893,Boyka: Undisputed IV,0,413334,7.154,1291,2016-08-01,87,"Action, Drama",en,['Bulgaria'],Nu Boyana Viburno
335797,Sing,75000000,634151679,7.1,7862,2016-11-23,108,"Animation, Comedy, Family, Music",en,"['Japan', 'United States of America']","Illumination, Universal Pictures, Fuji Television Network, dentsu"
300671,13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,7.3,3492,2016-01-14,144,"War, Action, History, Drama",en,['United States of America'],"Paramount Pictures, 3 Arts Entertainment, Bay Films"
381284,Hidden Figures,25000000,236000000,8.1,9619,2016-12-10,127,"Drama, History",en,['United States of America'],"Fox 2000 Pictures, Levantine Films, Chernin Entertainment"
329865,Arrival,47000000,203388186,7.607,17608,2016-11-10,116,"Drama, Science Fiction, Mystery",en,['United States of America'],"FilmNation Entertainment, Lava Bear, 21 Laps Entertainment"
283366,Miss Peregrine's Home for Peculiar Children,110000000,296482446,6.837,9840,2016-09-27,127,"Fantasy, Adventure",en,"['Belgium', 'United Kingdom', 'United States of America']","Big Screen Productions, Chernin Entertainment, Tim Burton Productions, SCOPE Pictures, TSG Entertainment, Ingenious Media, 20th Century Fox"
297761,Suicide Squad,175000000,749200054,5.9,20976,2016-08-03,122,"Action, Adventure, Fantasy",en,['United States of America'],"Warner Bros. Pictures, RatPac Entertainment, DC Films, Atlas Entertainment"
316727,The Purge: Election Year,10000000,118587880,6.395,5185,2016-06-29,105,"Action, Horror, Thriller",en,"['France', 'Japan', 'United States of America']","Why Not Productions, Universal Pictures, Blumhouse Productions, Platinum Dunes, Dentsu Entertainment, Fuji Television Network, Man In a Tree"
284052,Doctor Strange,180000000,676343174,7.4,21966,2016-10-25,115,"Action, Adventure, Fantasy",en,['United States of America'],Marvel Studios
140300,Kung Fu Panda 3,145000000,521170825,6.914,5954,2016-01-23,95,"Action, Adventure, Animation, Comedy, Family",en,"['China', 'United States of America']","DreamWorks Animation, China Film Group Corporation, Oriental DreamWorks, Zhong Ming You Ying Film"
