id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,7.8,20445,2003-07-09,143,"Adventure, Fantasy, Action",en,['United States of America'],"Walt Disney Pictures, Jerry Bruckheimer Films"
122,The Lord of the Rings: The Return of the King,94000000,1118888979,8.5,24027,2003-12-17,201,"Adventure, Fantasy, Action",en,"['New Zealand', 'United States of America']","New Line Cinema, WingNut Films, The Saul Zaentz Company"
11635,Old School,24000000,87100000,6.601,1811,2003-02-21,88,Comedy,en,['United States of America'],"The Montecito Picture Company, DreamWorks Pictures"
12,Finding Nemo,94000000,940335536,7.819,19111,2003-05-30,100,"Animation, Family",en,['United States of America'],Pixar
24,Kill Bill: Vol. 1,30000000,180906076,7.971,17251,2003-10-10,111,"Action, Crime",en,['United States of America'],"Miramax, A Band Apart, Super Cool ManChu"
604,The Matrix Reloaded,150000000,738599701,7.1,10862,2003-05-15,138,"Adventure, Action, Thriller, Science Fiction",en,['United States of America'],"Village Roadshow Pictures, Silver Pictures, NPV Entertainment"
9902,Wrong Turn,12600000,28650575,6.355,2654,2003-05-30,84,"Horror, Thriller",en,"['Canada', 'Germany', 'United States of America']","DCP Wrong Turn Productions, Summit Entertainment, Regency Enterprises, Media Cooperation One, Constantin Film, 20th Century Fox, Don Carmody Productions"
21542,Love Don't Co$t a Thing,0,21964072,7.4,515,2003-12-12,100,"Comedy, Drama, Family, Romance",en,['United States of America'],"CRML Productions, Alcon Entertainment, Burg/Koules Productions"
605,The Matrix Revolutions,150000000,424988211,6.7,9789,2003-11-05,129,"Adventure, Action, Thriller, Science Fiction",en,['United States of America'],"Village Roadshow Pictures, NPV Entertainment, Silver Pictures"
10588,The Cat in the Hat,109000000,133800000,5.3,1627,2003-11-21,81,"Comedy, Adventure, Family, Fantasy",en,['United States of America'],"Universal Pictures, DreamWorks Pictures, Imagine Entertainment, Brian Grazer Productions"
10327,"Legally Blonde 2: Red, White & Blonde",45000000,124914842,5.659,1547,2003-07-02,95,"Comedy, Romance",en,['United States of America'],"Metro-Goldwyn-Mayer, Marc Platt Productions, Type A Films"
11820,Mona Lisa Smile,65000000,141337989,6.939,1699,2003-12-19,117,"Drama, History, Romance",en,['United States of America'],"Columbia Pictures, Revolution Studios, Red Om Films"
4256,Scary Movie 3,48000000,220673217,6.0,4016,2003-10-24,84,Comedy,en,['United States of America'],"Brad Grey Pictures, Dimension Films"
8961,Bad Boys II,130000000,273339556,6.6,5392,2003-07-18,146,"Action, Crime, Comedy",en,['United States of America'],"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films"
10009,Brother Bear,128000000,250397798,7.269,5342,2003-10-23,85,"Adventure, Animation, Family",en,['United States of America'],Walt Disney Feature Animation
616,The Last Samurai,140000000,456800000,7.589,6779,2003-12-05,154,"Drama, Action, War",en,"['New Zealand', 'United States of America']","Warner Bros. Pictures, Radar Pictures, Bedford Falls Productions, Cruise/Wagner Productions"
8619,Master and Commander: The Far Side of the World,150000000,212000000,7.2,3111,2003-11-14,138,"Adventure, Drama, War",en,['United States of America'],"20th Century Fox, Miramax, Universal Pictures, Samuel Goldwyn Films"
10330,Freaky Friday,26000000,160846332,6.51,3751,2003-08-05,97,"Comedy, Family, Fantasy",en,['United States of America'],"Casual Friday Productions, Gunn Films, Walt Disney Pictures"
2289,Cold Mountain,79000000,173013509,6.9,1741,2003-12-24,154,"Drama, War, History, Adventure, Romance",en,"['United States of America', 'United Kingdom', 'Romania', 'Italy']","Miramax, Mirage Enterprises, Castel Film, Cattleya, Bona Fide Productions"
10601,Peter Pan,100000000,121975011,7.166,2585,2003-12-18,113,"Adventure, Fantasy, Family",en,"['United Kingdom', 'United States of America']","Universal Pictures, Columbia Pictures, Revolution Studios, Red Wagon Entertainment, Allied Stars"
1927,Hulk,137000000,245360480,5.551,5708,2003-06-19,138,"Science Fiction, Adventure, Action",en,['United States of America'],"Marvel Enterprises, Universal Pictures, Good Machine, Valhalla Motion Pictures"
21683,Batman: Mystery of the Batwoman,0,0,6.6,386,2003-10-21,74,"Adventure, Fantasy, Animation, Action, Science Fiction",en,['United States of America'],Warner Bros. Animation
1817,Phone Booth,13000000,97837138,6.857,3683,2003-04-04,81,"Thriller, Crime",en,['United States of America'],"Fox 2000 Pictures, Zucker/Netter Productions"
18736,The Lizzie McGuire Movie,17000000,55534455,6.3,1246,2003-05-02,94,"Family, Comedy",en,['United States of America'],"Teen Life Productions, Walt Disney Pictures"
6466,Freddy vs. Jason,30000000,116643421,6.053,2525,2003-08-15,97,Horror,en,['United States of America'],"Yannix Technology Corporation, New Line Cinema, Avery Pix, Crystal Lake Entertainment, WTC Productions, Sean S. Cunningham Films"
8698,The League of Extraordinary Gentlemen,78000000,179265204,5.966,3978,2003-07-11,110,"Fantasy, Action, Thriller, Science Fiction",en,"['Germany', 'United States of America']","20th Century Fox, Mediastream III, Don Murphy Productions"
11351,Jeepers Creepers 2,17000000,63102666,6.1,1609,2003-08-08,104,"Horror, Thriller",en,['United States of America'],"Jeepers Creepers II, United Artists, American Zoetrope, Myriad Pictures"
2116,Out of Time,50000000,55495563,6.3,1135,2003-10-03,105,"Thriller, Crime, Drama",en,['United States of America'],"Monarch Pictures, Original Film, Metro-Goldwyn-Mayer"
14411,Sinbad: Legend of the Seven Seas,60000000,80767884,7.0,2014,2003-07-02,90,"Family, Animation, Adventure, Comedy, Fantasy, Action",en,['United States of America'],"DreamWorks Animation, DreamWorks Pictures"
10756,The Haunted Mansion,90000000,182290266,5.7,1996,2003-11-26,99,"Thriller, Fantasy, Comedy, Family, Mystery",en,['United States of America'],"Doom Buggy Productions, Walt Disney Pictures, Gunn Films"
9373,The Texas Chainsaw Massacre,9500000,107967319,6.3,2595,2003-05-21,98,Horror,en,['United States of America'],"Next Entertainment, Platinum Dunes, Radar Pictures, New Line Cinema, Focus Features"
296,Terminator 3: Rise of the Machines,200000000,435000000,6.162,6565,2003-07-02,109,"Action, Thriller, Science Fiction",en,"['Germany', 'United Kingdom', 'United States of America']","IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, C2 Pictures, Mostow/Lieberman Productions, Intermedia, Senator International, Valhalla Motion Pictures"
2662,House of 1000 Corpses,7000000,17949758,6.2,1576,2003-04-11,89,Horror,en,['United States of America'],Spectacle Entertainment Group
10719,Elf,32000000,228500000,6.7,3976,2003-10-09,97,"Comedy, Family, Fantasy",en,['United States of America'],"New Line Cinema, Guy Walks into a Bar Productions"
277,Underworld,22000000,95708457,6.827,6048,2003-09-19,122,"Fantasy, Action, Thriller",en,"['Germany', 'Hungary', 'United Kingdom', 'United States of America']","Screen Gems, Lakeshore Entertainment, Laurinfilm, Subterranean Productions LLC, Subterranean Productions UK Ltd., Underworld Produktions GmbH"
1807,Elephant,3000000,10000000,7.062,1869,2003-09-20,81,"Crime, Drama",en,['United States of America'],"HBO Films, Blue Relief Productions, Meno Film Company, Fine Line Features, Fearmakers Studios"
1792,Stuck on You,55000000,65784503,5.3,653,2003-12-10,119,Comedy,en,['United States of America'],"Conundrum Entertainment, 20th Century Fox"
9919,How to Lose a Guy in 10 Days,50000000,177500000,6.801,3851,2003-02-07,116,"Comedy, Romance",en,['United States of America'],"Paramount Pictures, Robert Evans Company, Lynda Obst Productions, Christine Peters Productions"
42418,Young Black Stallion,0,0,6.5,96,2003-12-25,49,"Adventure, Drama, Family",en,['United States of America'],"FR Productions, The Kennedy/Marshall Company"
10735,What a Girl Wants,20000000,50700000,6.3,1596,2003-03-27,105,"Comedy, Romance, Drama, Family",en,['United States of America'],"Sloane Square Films, Di Novi Pictures, Gaylord Films, Gerber Pictures, HSI Tomorrow Film, Warner Bros. Pictures"
9358,Final Destination 2,26000000,90900000,6.243,4004,2003-01-31,90,"Horror, Mystery",en,"['United States of America', 'Canada']","New Line Cinema, Zide-Perry Productions"
8409,A Man Apart,36000000,44350926,6.1,866,2003-04-04,109,"Action, Drama, Crime",en,"['Germany', 'United States of America']","Newman/Tooley Films, ""DIA"" Productions GmbH & Co. KG, Joseph Nittolo Entertainment, New Line Cinema"
6038,Shanghai Knights,50000000,88300000,6.1,2221,2003-02-06,115,"Action, Adventure, Comedy, Western",en,"['Hong Kong', 'United States of America']","All Knight Productions, Spyglass Entertainment, Touchstone Pictures, Birnbaum/Barber Productions, JCE Movies"
6964,Something's Gotta Give,80000000,270000000,6.625,1558,2003-12-12,128,"Drama, Comedy, Romance",en,['United States of America'],"Columbia Pictures, Warner Bros. Pictures, Waverly Films"
8273,American Wedding,55000000,231449203,6.217,4022,2003-08-01,103,"Comedy, Romance",en,['United States of America'],"Loumolo & Co., Universal Pictures, LivePlanet, Zide-Perry Productions"
