id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
86328,Terrifier,0,0,6.275,151,2011-08-09,19,Horror,en,['United States of America'],D&D Films
1865,Pirates of the Caribbean: On Stranger Tides,379000000,1045700000,6.555,13867,2011-05-15,137,"Adventure, Action, Fantasy",en,"['United Kingdom', 'United States of America']","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company"
49013,Cars 2,200000000,559852396,6.1,7686,2011-06-11,106,"Animation, Family, Adventure, Comedy",en,['United States of America'],"Pixar, Walt Disney Pictures"
23047,Season of the Witch,40000000,91627228,5.5,2400,2011-01-07,95,"Adventure, Fantasy, Action",en,['United States of America'],"Atlas Entertainment, Relativity Media, Mandate International, Rogue Pictures"
118249,Thriller Night,0,0,6.876,93,2011-09-13,6,"Animation, Music, Horror, Comedy",en,['United States of America'],DreamWorks Animation
71672,Wrong Turn 4: Bloody Beginnings,3000000,0,5.72,1074,2011-10-17,93,"Horror, Thriller",en,"['Germany', 'United States of America']","Summit Entertainment, Constantin Film"
41446,Scream 4,40000000,97231420,6.5,3650,2011-04-13,111,"Horror, Mystery",en,['United States of America'],"Dimension Films, Outerbanks Entertainment"
23629,Sucker Punch,82000000,89792502,6.2,4661,2011-03-24,110,"Action, Fantasy, Thriller",en,"['Canada', 'United States of America']","Legendary Pictures, Lennox House Films, Warner Bros. Pictures, Cruel & Unusual Films"
50014,The Help,25000000,216600000,8.2,8190,2011-08-09,146,Drama,en,"['India', 'United Arab Emirates', 'United States of America']","DreamWorks Pictures, Reliance Entertainment, Participant, Image Nation Abu Dhabi, 1492 Pictures, Harbinger Pictures, Touchstone Pictures"
50619,The Twilight Saga: Breaking Dawn - Part 1,110000000,712171856,6.2,8676,2011-11-16,117,"Adventure, Fantasy, Romance",en,['United States of America'],"Summit Entertainment, Sunswept Entertainment, TSBD Canada Productions, TSBD Louisiana, TSBD Productions, Temple Hill Entertainment, Total Entertainment"
39254,Real Steel,110000000,299300000,7.025,8220,2011-09-28,127,"Action, Science Fiction, Drama",en,"['United States of America', 'India']","DreamWorks Pictures, Reliance Entertainment, 21 Laps Entertainment, Montford / Murphy Productions"
10195,Thor,150000000,449326618,6.769,20978,2011-04-21,115,"Adventure, Fantasy, Action",en,['United States of America'],"Marvel Studios, Marvel Entertainment"
1771,Captain America: The First Avenger,140000000,370569774,7.0,21251,2011-07-22,124,"Action, Adventure, Science Fiction",en,['United States of America'],"Marvel Studios, Marvel Entertainment"
71676,Ghost Rider: Spirit of Vengeance,57000000,132563930,5.011,3740,2011-12-10,96,"Action, Fantasy, Thriller",en,"['United Arab Emirates', 'United States of America']","Columbia Pictures, Crystal Sky Pictures, Michael De Luca Productions, Hyde Park Entertainment, Arad Productions, Image Nation Abu Dhabi, Marvel Entertainment"
417859,Puss in Boots,130000000,554987477,6.569,3982,2011-10-27,90,"Animation, Family, Fantasy, Adventure, Comedy",en,['United States of America'],DreamWorks Animation
49444,Kung Fu Panda 2,150000000,665692281,7.029,7077,2011-05-25,91,"Animation, Family, Comedy",en,['United States of America'],DreamWorks Animation
46195,Rio,90000000,484600000,6.7,6593,2011-04-03,96,"Animation, Adventure, Comedy, Family",en,['United States of America'],"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox"
45243,The Hangover Part II,80000000,586764305,6.5,10360,2011-05-25,102,Comedy,en,['United States of America'],"Legendary Pictures, Green Hat Films, Warner Bros. Pictures"
41630,No Strings Attached,25000000,149200000,6.293,4643,2011-01-21,107,"Comedy, Romance",en,['United States of America'],"Katalyst Films, The Montecito Picture Company, Handsomecharlie Films"
49530,In Time,40000000,173900000,7.0,11269,2011-10-27,109,"Action, Thriller, Science Fiction",en,['United States of America'],"New Regency Pictures, Strike Entertainment"
73456,Barbie: Princess Charm School,0,0,7.5,795,2011-08-11,79,"Family, Animation, Fantasy",en,"['United States of America', 'Canada']","Rainmaker Entertainment, Mattel"
44896,Rango,135000000,245700000,6.851,6390,2011-03-02,107,"Animation, Comedy, Family, Western, Adventure",en,"['United Kingdom', 'United States of America']","Paramount Pictures, Blind Wink, Nickelodeon Movies, GK Films, Industrial Light & Magic"
61791,Rise of the Planet of the Apes,93000000,481800873,7.3,11776,2011-08-03,105,"Thriller, Action, Drama, Science Fiction",en,"['United Kingdom', 'United States of America']","Dune Entertainment, Chernin Entertainment, Ingenious Media, Big Screen Productions, 20th Century Fox"
50546,Just Go with It,80000000,214945591,6.7,5646,2011-02-10,117,"Comedy, Romance",en,['United States of America'],"Columbia Pictures, Happy Madison Productions"
79443,The Smurfs: A Christmas Carol,0,0,6.7,252,2011-12-02,22,"Animation, Comedy, Family",en,['United States of America'],Sony Pictures Animation
59440,Warrior,25000000,23300000,7.8,4487,2011-09-09,140,"Drama, Action",en,['United States of America'],"Lionsgate, Mimran Schur Pictures, Solaris Film, Filmtribe"
17578,The Adventures of Tintin,130000000,373993951,6.9,5333,2011-10-24,107,"Adventure, Animation, Mystery",en,"['New Zealand', 'United States of America']","Paramount Pictures, Columbia Pictures, Hemisphere Media Capital, Nickelodeon Movies, Amblin Entertainment, WingNut Films, The Kennedy/Marshall Company"
