id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
14836,Coraline,60000000,172750668,7.887,7918,2009-02-05,100,"Animation, Family, Fantasy",en,['United States of America'],"Laika, Pandemonium, Pandemonium"
257354,Busty Cops: Protect and Serve!,0,0,4.7,16,2009-08-01,73,"Comedy, Crime, Mystery, Romance",en,['United States of America'],Digital Entertainment
22881,The Blind Side,29000000,309200000,7.7,6290,2009-11-20,129,Drama,en,['United States of America'],"Alcon Entertainment, Netter Productions"
21208,Orphan,20000000,77912251,6.996,5192,2009-07-24,122,"Horror, Thriller, Mystery",en,"['Canada', 'France', 'Germany', 'United States of America']","Warner Bros. Pictures, Dark Castle Entertainment, StudioCanal, Don Carmody Productions, Studio Babelsberg, Appian Way, Silver Pictures, Ontario Media Development Corporation"
22794,Cloudy with a Chance of Meatballs,100000000,242988466,6.6,5879,2009-09-17,90,"Animation, Comedy, Family",en,['United States of America'],"Sony Pictures Animation, Columbia Pictures"
10198,The Princess and the Frog,105000000,270997378,7.2,5532,2009-12-08,98,"Animation, Romance, Fantasy, Family",en,['United States of America'],"Walt Disney Pictures, Walt Disney Animation Studios"
23823,Wrong Turn 3: Left for Dead,3000000,0,5.663,1142,2009-10-20,91,"Horror, Thriller",en,"['Germany', 'United States of America']","Constantin Film, Summit Entertainment"
19995,Avatar,237000000,2923706026,7.582,31343,2009-12-15,162,"Action, Adventure, Fantasy, Science Fiction",en,"['United States of America', 'United Kingdom']","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media"
23398,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,5.623,2870,2009-12-21,88,"Comedy, Family, Animation, Fantasy, Music",en,['United States of America'],"Fox 2000 Pictures, Bagdasarian Productions, Regency Enterprises, 20th Century Fox, Dune Entertainment"
22683,Gifted Hands: The Ben Carson Story,0,0,7.803,644,2009-02-07,86,Drama,en,['United States of America'],"Johnson & Johnson Spotlight Presentations, Magna Global Entertainment, Sony Pictures Television, The Hatchery, Thomas Carter Company"
14160,Up,175000000,735099082,8.0,20055,2009-05-28,96,"Animation, Comedy, Family, Adventure",en,['United States of America'],Pixar
18785,The Hangover,35000000,469310836,7.3,16715,2009-06-02,100,Comedy,en,['United States of America'],"Legendary Pictures, Green Hat Films, Warner Bros. Pictures"
22803,Law Abiding Citizen,53000000,127900000,7.4,5077,2009-10-15,109,"Drama, Crime, Thriller",en,"['United Kingdom', 'United States of America']","The Film Department, Evil Twins, Warp Films, G-BASE"
22804,Saw VI,11000000,68234154,6.291,3158,2009-10-22,90,"Horror, Thriller",en,['United States of America'],"Lionsgate, Twisted Pictures, Mandate Pictures"
22620,Scooby-Doo! The Mystery Begins,0,13000000,6.4,686,2009-09-13,82,"Mystery, Comedy, Fantasy",en,['United States of America'],Warner Premiere
22832,Ninja Assassin,40000000,61601280,6.6,1531,2009-09-29,99,"Action, Adventure, Thriller",en,"['France', 'Germany', 'United States of America']","Legendary Pictures, Dark Castle Entertainment, Silver Pictures, Anarchos Productions, Rocklock Films, Studio Babelsberg, Warner Bros. Pictures, Hermanas Wachowski, StudioCanal"
20943,The Ugly Truth,38000000,321700000,6.504,3486,2009-07-24,96,"Comedy, Romance",en,['United States of America'],"Lakeshore Entertainment, Relativity Media"
19913,(500) Days of Summer,7500000,60781545,7.286,10004,2009-07-17,95,"Comedy, Drama, Romance",en,['United States of America'],"Fox Searchlight Pictures, Watermark Pictures, Dune Entertainment III"
22824,The Fourth Kind,10000000,47709193,6.3,1687,2009-11-05,98,"Mystery, Science Fiction, Thriller",en,"['Belgium', 'United States of America']","Universal Pictures, Gold Circle Films, Chambara Pictures, Dead Crow Productions, Saga Film, Mandate International"
10184,He's Just Not That Into You,40000000,178866158,6.6,3619,2009-02-06,129,"Comedy, Romance, Drama",en,['United States of America'],"Flower Films, Warner Bros. Pictures, New Line Cinema"
16869,Inglourious Basterds,70000000,321457747,8.219,22085,2009-08-02,153,"Drama, Thriller, War",en,"['France', 'Germany', 'United States of America']","The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films"
21634,Prayers for Bobby,0,0,8.1,576,2009-01-24,89,"Drama, History, TV Movie",en,['United States of America'],"Once Upon a Time Films, Sladek Taaffe Productions, Permut Presentations"
18239,The Twilight Saga: New Moon,50000000,709827462,6.0,9088,2009-11-18,131,"Adventure, Fantasy, Drama, Romance",en,['United States of America'],"Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment"
8355,Ice Age: Dawn of the Dinosaurs,90000000,886686817,6.754,8211,2009-06-26,94,"Animation, Comedy, Family, Adventure",en,['United States of America'],"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox"
22947,Up in the Air,25000000,166842739,6.9,3568,2009-12-04,110,"Drama, Romance",en,['United States of America'],"Paramount Pictures, DreamWorks Pictures, Cold Spring Pictures, The Montecito Picture Company, Rickshaw Productions, Right of Way Films"
176241,Prison Break: The Final Break,0,0,7.525,641,2009-09-10,89,"Action, Drama, Thriller",en,['United States of America'],"Adelstein-Parouse Productions, 20th Century Fox Television, Original Film"
24150,Halloween II,10000000,39421467,5.347,1375,2009-08-28,105,Horror,en,['United States of America'],"Dimension Films, Spectacle Entertainment Group, Trancas International Films"
