id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
580489,Venom: Let There Be Carnage,110000000,506863592,6.798,9952,2021-09-30,97,"Science Fiction, Action, Adventure",en,['United States of America'],"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions"
634649,Spider-Man: No Way Home,200000000,1921847111,8.0,19938,2021-12-15,148,"Action, Adventure, Science Fiction",en,['United States of America'],"Marvel Studios, Pascal Pictures, Columbia Pictures"
423108,The Conjuring: The Devil Made Me Do It,39000000,206431050,7.435,5849,2021-05-25,111,"Horror, Mystery, Thriller",en,['United States of America'],"New Line Cinema, The Safran Company, Atomic Monster"
568124,Encanto,50000000,253000000,7.6,9375,2021-10-13,102,"Animation, Comedy, Family, Fantasy",en,['United States of America'],"Walt Disney Animation Studios, Walt Disney Pictures"
337404,Cruella,200000000,233503234,8.0,9234,2021-05-26,134,"Comedy, Crime, Family, Adventure",en,['United States of America'],"Walt Disney Pictures, Gunn Films, Marc Platt Productions"
436969,The Suicide Squad,185000000,168717425,7.5,8510,2021-07-28,132,"Action, Comedy, Adventure",en,['United States of America'],"DC Films, Atlas Entertainment, The Safran Company, Warner Bros. Pictures"
566525,Shang-Chi and the Legend of the Ten Rings,150000000,432243292,7.5,9289,2021-09-01,132,"Action, Adventure, Fantasy",en,['United States of America'],Marvel Studios
870404,Meteor,0,0,5.5,95,2021-09-01,84,"Science Fiction, Thriller",en,['United States of America'],"B22 Films, ITN Studios"
438631,Dune,165000000,407573628,7.8,12488,2021-09-15,155,"Science Fiction, Adventure",en,['United States of America'],Legendary Pictures
438695,Sing 2,85000000,406000000,7.9,4334,2021-12-01,110,"Animation, Family, Music, Comedy",en,['United States of America'],"Universal Pictures, Illumination"
602223,The Forever Purge,18000000,76994245,6.9,2469,2021-06-30,103,"Horror, Action, Thriller",en,"['China', 'United States of America']","Blumhouse Productions, Platinum Dunes, Universal Pictures, Perfect World Pictures, Man In a Tree"
791373,Zack Snyder's Justice League,70000000,0,8.145,9910,2021-03-18,242,"Action, Adventure, Fantasy",en,['United States of America'],"Warner Bros. Pictures, The Stone Quarry, Atlas Entertainment, Access Entertainment, Dune Entertainment, DC Films"
637649,Wrath of Man,40000000,103966489,7.631,5199,2021-04-22,118,"Crime, Action, Thriller",en,"['United Kingdom', 'United States of America']","Miramax, Toff Guy Films, Flic Films, Metro-Goldwyn-Mayer"
630586,Wrong Turn,0,3777969,6.0,1118,2021-01-26,110,"Horror, Thriller",en,"['Germany', 'United States of America', 'United Kingdom']","Constantin Film, The H Collective, Tea Shop & Film Company, Lionsgate"
588228,The Tomorrow War,200000000,14400000,7.531,3382,2021-09-03,138,"Action, Science Fiction, Adventure",en,['United States of America'],"Skydance Media, Phantom Four, Lit Entertainment Group"
675445,PAW Patrol: The Movie,26000000,144327371,7.393,1206,2021-08-09,86,"Animation, Family, Adventure, Comedy",en,"['Canada', 'France', 'United States of America']","Spin Master, Nickelodeon Movies, Paramount Pictures, Mikros Image, Mikros Animation"
520763,A Quiet Place Part II,61000000,297372261,7.5,6433,2021-05-21,96,"Science Fiction, Thriller, Horror",en,['United States of America'],"Paramount Pictures, Platinum Dunes, Sunday Night Productions"
508943,Luca,200000000,51074773,7.8,8253,2021-06-17,95,"Animation, Comedy, Fantasy, Adventure, Family",en,['United States of America'],"Pixar, Walt Disney Pictures"
744275,After We Fell,14000000,21800000,7.062,2549,2021-09-01,99,"Romance, Drama",en,"['France', 'United States of America', 'Bulgaria']","Voltage Pictures, Wattpad, Vertical Entertainment, Ethea Entertainment, CalMaple Films"
497698,Black Widow,200000000,379751131,7.238,10078,2021-01-01,134,"Action, Adventure, Science Fiction",en,['United States of America'],Marvel Studios
476669,The King's Man,100000000,125900000,6.755,4440,2021-12-22,131,"Action, Comedy, Adventure, Thriller",en,"['United Kingdom', 'United States of America']","Marv, Cloudy Productions, 20th Century Studios"
624860,The Matrix Resurrections,190000000,156497322,6.4,5655,2021-12-16,147,"Science Fiction, Action, Adventure",en,['United States of America'],"Warner Bros. Pictures, Village Roadshow Pictures, Venus Castina Productions"
801335,Girl in the Basement,0,0,7.681,683,2021-02-27,88,"Thriller, Crime, TV Movie",en,['United States of America'],"Big Dreams Entertainment, Swirl Films"
524434,Eternals,200000000,402064899,6.858,8174,2021-11-03,156,"Science Fiction, Action, Adventure",en,['United States of America'],Marvel Studios
550988,Free Guy,110000000,331526598,7.5,8642,2021-08-11,115,"Comedy, Adventure, Science Fiction",en,['United States of America'],"Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios"
602734,Spiral: From the Book of Saw,20000000,40618920,5.971,1970,2021-05-12,93,"Horror, Mystery",en,['United States of America'],"Twisted Pictures, Lionsgate, Serendipity Productions, Dahlstar"
527774,Raya and the Last Dragon,100000000,130423032,7.8,6718,2021-03-03,107,"Animation, Family, Fantasy, Action, Adventure",en,['United States of America'],"Walt Disney Pictures, Walt Disney Animation Studios"
425909,Ghostbusters: Afterlife,75000000,204334455,7.4,4543,2021-11-18,124,"Fantasy, Comedy, Adventure, Science Fiction",en,"['Canada', 'United States of America']","Columbia Pictures, Bron Studios, The Montecito Picture Company, Ghost Corps"
512195,Red Notice,160000000,178143,6.8,5706,2021-11-04,118,"Action, Comedy, Crime",en,['United States of America'],"Flynn Picture Company, Seven Bucks Productions, Bad Version"
459151,The Boss Baby: Family Business,82000000,146745280,7.4,2501,2021-07-01,107,"Animation, Comedy, Adventure, Family",en,['United States of America'],"DreamWorks Animation, Universal Pictures"
399566,Godzilla vs. Kong,200000000,470116094,7.6,9904,2021-03-24,114,"Action, Science Fiction, Adventure",en,['United States of America'],Legendary Pictures
610253,Halloween Kills,20000000,133423964,6.4,2625,2021-10-14,105,"Horror, Thriller",en,['United States of America'],"Blumhouse Productions, Miramax, Rough House Pictures, Trancas International Films"
639721,The Addams Family 2,0,119815153,7.0,1267,2021-10-01,93,"Family, Animation, Comedy, Fantasy, Adventure",en,"['Canada', 'United States of America']","Metro-Goldwyn-Mayer, Bron Studios, BermanBraun, Cinesite Animation, Nitrogen Studios Canada"
841755,Mortal Kombat Legends: Battle of the Realms,0,0,7.6,426,2021-08-30,80,"Animation, Action, Fantasy",en,['United States of America'],Warner Bros. Animation
587807,Tom & Jerry,50000000,136536687,6.8,2424,2021-02-10,101,"Comedy, Family, Animation",en,['United States of America'],"Warner Bros. Pictures Animation, Turner Entertainment, The Story Company, Warner Bros. Pictures"
581726,Infinite,0,0,6.6,1782,2021-09-09,106,"Science Fiction, Action, Adventure, Thriller",en,['United States of America'],"di Bonaventura Pictures, Closest to the Hole Productions, Paramount Pictures, New Republic Pictures, Leverage Entertainment"
