id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
1144962,Transmorphers: Mech Beasts,0,0,5.19,21,2023-06-09,84,"Action, Science Fiction",en,['United States of America'],The Asylum
1024127,King of Killers,0,0,6.516,127,2023-09-01,91,"Action, Thriller",en,"['Canada', 'United States of America']",
667538,Transformers: Rise of the Beasts,195000000,439000000,7.3,4512,2023-06-06,127,"Science Fiction, Adventure, Action",en,['United States of America'],"Skydance Media, Paramount Pictures, di Bonaventura Pictures, Bay Films, New Republic Pictures, DeSanto/Murphy Productions, Hasbro"
603692,John Wick: Chapter 4,90000000,440157245,7.7,6387,2023-03-22,170,"Action, Thriller, Crime",en,"['Germany', 'United States of America']","Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate"
940551,Migration,72000000,298776052,7.4,1731,2023-12-06,83,"Animation, Action, Adventure, Comedy, Family",en,['United States of America'],"Universal Pictures, Illumination"
779816,White Bird,20000000,4599785,7.9,55,2023-10-25,121,"Drama, Family, War, History",en,['United States of America'],"Participant, Mandeville Films, 2DUX², Kingdom Story Company, Lionsgate, Media Capital Technologies"
385687,Fast X,340000000,704709660,7.1,5486,2023-05-17,142,"Action, Crime, Thriller",en,['United States of America'],"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment"
609681,The Marvels,274800000,207089999,6.1,2615,2023-11-08,105,"Science Fiction, Adventure, Action",en,['United States of America'],"Marvel Studios, Kevin Feige Productions"
569094,Spider-Man: Across the Spider-Verse,100000000,690897910,8.358,6835,2023-05-31,140,"Animation, Action, Adventure, Science Fiction",en,['United States of America'],"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment"
502356,The Super Mario Bros. Movie,100000000,1362000000,7.7,8985,2023-04-05,93,"Animation, Family, Adventure, Fantasy, Comedy",en,"['Japan', 'United States of America']","Universal Pictures, Illumination, Nintendo"
713704,Evil Dead Rise,15000000,146700000,7.0,3012,2023-04-12,96,"Horror, Thriller",en,"['Ireland', 'New Zealand', 'United States of America']","New Line Cinema, Pacific Renaissance Pictures, Renaissance Pictures, Ghost House Pictures, Wild Atlantic Pictures"
626332,Flamin' Hot,0,0,8.0,634,2023-03-11,99,"Drama, History",en,['United States of America'],"Franklin Entertainment, Searchlight Pictures"
966576,The Quest for Tom Sawyer's Gold,0,107398,4.7,10,2023-06-22,88,"Adventure, Family",en,['United States of America'],"Ace Entertainment Films, Grindstone Entertainment Group"
1051560,The Devil Comes at Night,0,0,7.025,20,2023-06-06,80,Horror,en,['Canada'],BATS
1115396,Hunting Games,0,0,4.2,16,2023-05-12,94,"Action, Thriller, TV Movie",en,['United States of America'],"Charach Productions, Koenig Pictures"
