id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065700000,7.365,15783,2006-07-06,151,"Adventure, Fantasy, Action",en,['United States of America'],"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
214,Saw III,10000000,164876498,6.405,4452,2006-10-26,108,"Horror, Thriller, Crime",en,['United States of America'],"Twisted Pictures, Evolution Entertainment, Lionsgate"
920,Cars,120000000,461983149,6.978,13797,2006-06-08,117,"Animation, Adventure, Comedy, Family",en,['United States of America'],"Pixar, Walt Disney Pictures"
2179,Tenacious D in The Pick of Destiny,22000000,13405595,6.764,1575,2006-11-22,93,"Comedy, Music, Fantasy, Adventure",en,['United States of America'],"New Line Cinema, Red Hour"
350,The Devil Wears Prada,35000000,326706115,7.4,11912,2006-06-29,109,"Drama, Comedy",en,['United States of America'],"Fox 2000 Pictures, 20th Century Fox, Wendy Finerman Productions"
1579,Apocalypto,40000000,120654337,7.582,5483,2006-12-07,139,"Action, Drama, History",en,"['United Kingdom', 'United States of America']","Icon Entertainment International, Icon Productions, Touchstone Pictures"
21316,Leroy & Stitch,0,0,6.6,511,2006-06-23,73,"Animation, Comedy, Family, TV Movie",en,['United States of America'],Disney Television Animation
9297,Monster House,75000000,140175006,6.693,3912,2006-06-30,91,"Animation, Comedy, Family, Fantasy",en,['United States of America'],"ImageMovers, Amblin Entertainment"
950,Ice Age: The Meltdown,80000000,660998756,6.708,9616,2006-03-29,91,"Animation, Family, Comedy, Adventure",en,['United States of America'],"20th Century Fox Animation, Blue Sky Studios, 20th Century Fox"
2207,16 Blocks,55000000,65664721,6.4,1914,2006-03-01,105,"Action, Adventure, Crime, Thriller",en,"['Germany', 'United States of America']","Alcon Entertainment, Cheyenne Enterprises, Equity Pictures Medienfonds GmbH & Co. KG III, 16 Block Productions, The Donners' Company, Millennium Media, Nu Image, ContentFilm, EFO Films"
1402,The Pursuit of Happyness,55000000,307077295,7.9,9746,2006-12-14,117,Drama,en,['United States of America'],"Escape Artists, Relativity Media, Columbia Pictures, Overbrook Entertainment"
9792,The Hills Have Eyes,15000000,69623713,6.421,2941,2006-03-10,107,"Horror, Thriller",en,"['France', 'United States of America']","Fox Searchlight Pictures, Craven-Maddalena Films, Major Studio Partners, Dune Entertainment"
8275,American Pie Presents: The Naked Mile,0,0,5.5,2013,2006-12-01,97,Comedy,en,['United States of America'],"Rogue Pictures, Neo Art & Logic"
9072,Little Man,64000000,101600000,5.904,1697,2006-08-31,98,"Comedy, Crime",en,"['United States of America', 'Canada']","Wayans Bros. Entertainment, Revolution Studios"
1124,The Prestige,40000000,109676311,8.204,15888,2006-10-17,130,"Drama, Mystery, Science Fiction",en,"['United Kingdom', 'United States of America']","Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy"
752,V for Vendetta,54000000,132511035,7.897,14333,2006-02-23,132,"Action, Thriller, Science Fiction",en,"['Germany', 'United Kingdom', 'United States of America']","Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Productions, DC Vertigo"
956,Mission: Impossible III,150000000,398479497,6.74,6703,2006-04-25,126,"Adventure, Action, Thriller",en,['United States of America'],"Paramount Pictures, Cruise/Wagner Productions"
