id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
38700,Bad Boys for Life,90000000,426505244,7.1,8195,2020-01-15,124,"Thriller, Action, Crime",en,['United States of America'],"Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment"
400160,The SpongeBob Movie: Sponge on the Run,60000000,4700000,7.5,2829,2020-08-14,95,"Family, Animation, Fantasy, Adventure, Comedy",en,"['France', 'United States of America']","United Plankton Pictures, Nickelodeon Movies, Paramount Animation, Paramount Pictures, MRC, Mikros Image, Mikros Animation"
454626,Sonic the Hedgehog,90000000,319715683,7.3,9423,2020-02-12,99,"Action, Science Fiction, Comedy, Family",en,"['Japan', 'United States of America']","Original Film, Blur Studio, Marza Animation Planet, Paramount Pictures, SEGA, SEGA of America"
337401,Mulan,200000000,69965374,6.9,6589,2020-09-04,115,"Adventure, Fantasy, Action, Family",en,['United States of America'],"Walt Disney Pictures, Good Fear, Jason T. Reed Productions"
613504,After We Collided,14000000,48000000,7.2,5263,2020-09-02,105,"Romance, Drama",en,['United States of America'],"Voltage Pictures, Offspring Entertainment, Frayed Pages Entertainment, Wattpad"
508442,Soul,150000000,121977511,8.126,10347,2020-12-25,101,"Animation, Family, Comedy, Fantasy",en,['United States of America'],"Walt Disney Pictures, Pixar"
770156,Lucy Shimmers and the Prince of Peace,0,0,8.417,260,2020-10-19,87,"Drama, Family",en,['United States of America'],"Rob Diamond Films, Future Movie Productions"
529203,The Croods: A New Age,65000000,215905815,7.5,3795,2020-11-25,95,"Animation, Family, Adventure, Fantasy, Comedy",en,['United States of America'],"Universal Pictures, DreamWorks Animation"
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),75000000,205537933,6.923,10161,2020-02-05,109,"Action, Crime",en,['United States of America'],"Warner Bros. Pictures, DC Films, LuckyChap Entertainment, Clubhouse Pictures, Kroll & Co Entertainment"
545609,Extraction,65000000,0,7.3,5986,2020-04-23,116,"Action, Thriller",en,['United States of America'],"AGBO, Thematic Entertainment, TGIM Films"
425001,The War with Grandpa,18000000,43387445,6.4,936,2020-08-27,98,"Comedy, Family",en,['United States of America'],"Marro Films, EFO Films, Tri G, West Madison Entertainment"
464052,Wonder Woman 1984,200000000,169601036,6.4,8354,2020-12-16,151,"Action, Adventure, Fantasy",en,['United States of America'],"Warner Bros. Pictures, The Stone Quarry, DC Films, Atlas Entertainment"
446893,Trolls World Tour,90000000,49276818,7.3,2121,2020-03-11,90,"Family, Animation, Comedy, Fantasy, Adventure, Music",en,"['Japan', 'United States of America']","DreamWorks Animation, Universal Pictures, dentsu"
531219,Roald Dahl's The Witches,0,29303571,6.4,2778,2020-10-26,106,"Family, Comedy, Fantasy",en,"['Mexico', 'United Kingdom', 'United States of America']","ImageMovers, Warner Bros. Pictures, Necropia Entertainment, Esperanto Filmoj"
577922,Tenet,205000000,365304105,7.184,9753,2020-08-22,150,"Action, Thriller, Science Fiction",en,"['United Kingdom', 'United States of America']","Warner Bros. Pictures, Syncopy"
590223,Love and Monsters,30000000,1122066,7.309,3978,2020-10-16,109,"Comedy, Action, Adventure",en,"['Australia', 'Canada', 'United States of America']",21 Laps Entertainment
447362,Life in a Year,0,0,8.261,1858,2020-11-27,107,"Drama, Romance",en,['United States of America'],"Columbia Pictures, Overbrook Entertainment"
524047,Greenland,34000000,52300000,7.137,4459,2020-07-29,120,"Action, Thriller, Drama",en,"['United Kingdom', 'United States of America']","STXfilms, Thunder Road, Anton, G-BASE, Riverstone Pictures, Truenorth Productions"
702936,Sniper: Assassin's End,0,68881,6.2,202,2020-06-15,95,Action,en,['United States of America'],Destination Films
583083,The Kissing Booth 2,0,0,7.648,4962,2020-07-24,132,"Comedy, Romance",en,['United Kingdom'],"Komixx Entertainment, Picture Loom Productions, Clearblack Films"
592984,Hillbilly Elegy,0,0,6.727,892,2020-11-09,117,Drama,en,['United States of America'],Imagine Entertainment
539537,Fantasy Island,7000000,49500000,5.803,2422,2020-02-12,109,"Adventure, Fantasy, Horror, Mystery",en,['United States of America'],"Blumhouse Productions, Columbia Pictures, Tower of Babble Entertainment"
602147,Inheritance,0,0,6.38,615,2020-04-30,110,"Drama, Mystery, Thriller",en,['United States of America'],"Highland Film Group, Ingenious Media, Southpaw Entertainment, White Comet Films, Vertical Entertainment, DirecTV"
508439,Onward,200000000,141940042,7.7,6072,2020-02-29,103,"Family, Animation, Adventure, Comedy, Fantasy",en,['United States of America'],"Walt Disney Pictures, Pixar"
481848,The Call of the Wild,109000000,111200000,7.559,3673,2020-02-19,100,"Adventure, Family, Drama",en,"['Canada', 'United States of America']","3 Arts Entertainment, 20th Century Studios, TSG Entertainment, Halon Entertainment"
587792,Palm Springs,5000000,164000,7.3,3043,2020-07-10,90,"Comedy, Romance, Science Fiction",en,['United States of America'],"Limelight, The Lonely Island, Sun Entertainment Culture Los Angeles"
717634,Girl,0,0,6.1,212,2020-12-11,90,Thriller,en,"['Canada', 'United States of America']","Anamorphic Media, Envision Media Arts, Fella Films, Trilight Entertainment"
664767,Mortal Kombat Legends: Scorpion's Revenge,0,0,8.1,1363,2020-04-12,80,"Animation, Action, Fantasy",en,['United States of America'],Warner Bros. Animation
615677,We Can Be Heroes,0,0,6.028,762,2020-12-25,97,"Family, Action, Fantasy, Comedy",en,['United States of America'],"Troublemaker Studios, Quick Draw Productions, Double R Productions"
590995,The Craft: Legacy,18000000,2300000,6.136,785,2020-10-28,94,"Horror, Drama, Fantasy",en,['United States of America'],"Blumhouse Productions, Red Wagon Entertainment, Columbia Pictures"
660982,American Pie Presents: Girls' Rules,0,0,6.1,606,2020-10-06,95,Comedy,en,['United States of America'],"Universal 1440 Entertainment, Universal Pictures, Capital Arts Entertainment"
737043,Swingers,0,0,4.5,2,2020-08-24,47,Documentary,en,['United Kingdom'],Channel 4 Television
458576,Monster Hunter,60000000,42145959,6.59,3257,2020-12-03,104,"Action, Fantasy, Adventure",en,"['China', 'Germany', 'Japan', 'United Kingdom']","Capcom, Constantin Film, Impact Pictures, Tencent Pictures, TOHO"
609242,The Heist of the Century,0,7627100,7.8,774,2020-01-16,114,"Comedy, Thriller, Crime",es,"['Argentina', 'United States of America']","Viacom International Inc., Telefe, AZ Films, MarVista Entertainment, Film Tonic, INCAA, Cine Argentino"
340102,The New Mutants,67000000,49169594,6.1,3375,2020-04-02,94,"Science Fiction, Horror, Action, Adventure",en,['United States of America'],"20th Century Studios, Genre Films, Sunswept Entertainment, Marvel Entertainment"
594328,Phineas and Ferb the Movie: Candace Against the Universe,0,0,7.273,366,2020-08-27,84,"Family, Animation, Science Fiction, Comedy",en,['United States of America'],Disney Television Animation
599521,Z-O-M-B-I-E-S 2,0,0,7.5,443,2020-06-13,84,"Fantasy, Romance, TV Movie",en,"['Canada', 'United States of America']","Walt Disney Television, Bloor Street Productions"
693158,Proximity,0,0,6.567,297,2020-05-15,119,"Science Fiction, Drama",en,['United States of America'],Demeusy Pictures
592834,My Spy,18000000,10200000,6.9,1211,2020-01-09,99,"Family, Action, Comedy",en,['United States of America'],"STXfilms, MWM Studios, Good Fear"
596161,Let Him Go,21000000,7997460,6.8,635,2020-11-05,114,"Thriller, Crime, Western",en,"['Canada', 'United States of America']","The Mazur Kaplan Company, Focus Features"
516486,Greyhound,50300000,0,7.413,2847,2020-07-09,92,"War, Action, Drama",en,"['Canada', 'China', 'United States of America']","Playtone, Bron Studios, FilmNation Entertainment, Sycamore Pictures, Zhengfu Pictures, Sony Pictures, Stage 6 Films"
605116,Project Power,0,0,6.467,2813,2020-08-14,113,"Action, Crime, Science Fiction",en,['United States of America'],"Screen Arcade, Supermarché"
703745,Deep Blue Sea 3,5000000,0,5.618,309,2020-08-25,100,"Action, Horror, Science Fiction",en,['United States of America'],Roserock Films
526007,The Night Clerk,0,302127,6.257,771,2020-02-19,90,"Thriller, Crime, Drama",en,['United States of America'],"Highland Film Group, WulfPak Productions, Saban Films, Convergent Media"
740985,Borat Subsequent Moviefilm,0,0,6.5,2496,2020-10-23,96,Comedy,en,['United States of America'],"Oak Springs Productions, Four by Two Films"
565426,To All the Boys: P.S. I Still Love You,0,0,6.8,2510,2020-02-03,102,"Romance, Comedy",en,['United States of America'],"Awesomeness Films, ACE Entertainment"
531876,The Outpost,18000000,2133452,6.899,1021,2020-06-24,123,"War, Drama, History, Action",en,"['Bulgaria', 'United States of America']","Millennium Media, York Films, Perfection Hunter Productions"
716703,What Lies Below,0,0,5.328,183,2020-12-17,87,"Horror, Mystery, Thriller, Science Fiction",en,['United States of America'],DRF Productions
