title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Terrifier 2,250000,15740003,6.759,1771,2022-10-06,138,"Horror, Thriller",en
Code Name: Tiranga,0,0,4.4,7,2022-10-14,137,"Action, Thriller",hi
The Batman,185000000,771000000,7.672,10103,2022-03-01,177,"Crime, Mystery, Thriller",en
Thor: Love and Thunder,250000000,760900000,6.443,7457,2022-07-06,119,"Fantasy, Action, Comedy",en
Jurassic World Dominion,165000000,1001978080,6.697,6000,2022-06-01,147,"Adventure, Action, Science Fiction",en
Minions: The Rise of Gru,85000000,940203765,7.325,3555,2022-06-29,87,"Animation, Comedy, Family, Adventure",en
Alienoid,24500000,12109608,6.84,416,2022-07-20,142,"Science Fiction, Action, Fantasy, Adventure",ko
Smile,17000000,217408513,6.669,3003,2022-09-23,115,"Horror, Mystery",en
Black Adam,200000000,393452111,6.913,6185,2022-10-19,125,"Action, Adventure, Science Fiction",en
Fantastic Beasts: The Secrets of Dumbledore,200000000,407200000,6.661,4398,2022-04-06,142,"Fantasy, Adventure",en
Top Gun: Maverick,170000000,1488732821,8.205,9073,2022-05-21,131,"Action, Drama",en
Puss in Boots: The Last Wish,90000000,484700000,8.225,7650,2022-12-07,103,"Animation, Adventure, Fantasy, Comedy, Family",en
Fall,3000000,17363261,7.188,3813,2022-08-11,107,"Thriller, Action",en
All Eyes Off Me,0,0,5.0,9,2022-06-08,88,Drama,he
365 Days: This Day,0,0,5.885,1491,2022-04-26,111,"Romance, Drama",pl
Sonic the Hedgehog 2,110000000,405421518,7.506,4915,2022-03-30,123,"Action, Adventure, Family, Comedy",en
Avatar: The Way of Water,460000000,2320250281,7.621,11771,2022-12-14,192,"Science Fiction, Adventure, Action",en
Doctor Strange in the Multiverse of Madness,200000000,955775804,7.286,9007,2022-05-04,126,"Fantasy, Action, Adventure",en
The Witch: Part 2. The Other One,0,23068596,7.173,277,2022-06-15,137,"Action, Mystery, Thriller, Science Fiction, Adventure",ko
Halloween Ends,20000000,104374176,6.11,1715,2022-10-12,111,"Horror, Thriller",en
The Bad Guys,80000000,250162278,7.555,2010,2022-03-17,100,"Family, Animation, Adventure, Comedy, Crime",en
Black Panther: Wakanda Forever,250000000,859102154,7.104,6393,2022-11-09,162,"Action, Adventure, Science Fiction",en
20th Century Girl,119,0,8.145,679,2022-10-06,119,"Romance, Drama",ko
The Adventure of A.R.I.: My Robot Friend,0,0,6.962,13,2022-01-13,89,"Family, Science Fiction",en
Bullet Train,90000000,239300000,7.457,6069,2022-08-03,126,"Action, Comedy, Thriller",en
Turning Red,175000000,21328962,7.37,5153,2022-03-10,100,"Animation, Family, Comedy, Fantasy",en
The Exorcism of God,1500000,0,7.108,1054,2022-03-11,98,"Horror, Crime, Drama, Fantasy",en
The Next 365 Days,0,0,6.4,1071,2022-08-18,112,"Romance, Drama",pl
Prey,65000000,0,7.715,6567,2022-08-02,100,"Thriller, Action, Science Fiction",en
Deep Water,49000000,0,5.812,1345,2022-03-18,116,"Drama, Mystery, Thriller",en
Sri Asih,1242172,4577403,6.269,107,2022-11-17,134,"Action, Adventure, Science Fiction, Fantasy, Drama",id
The OctoGames,0,0,5.394,118,2022-10-07,88,"Thriller, Action, Horror",en
Hotel Transylvania: Transformania,75000000,18500000,7.079,2713,2022-01-31,92,"Animation, Comedy, Family, Adventure, Fantasy",en
Top Gunner: Danger Zone,0,0,5.914,35,2022-05-20,86,"Action, Thriller",en
Spitfire Over Berlin,0,0,5.42,55,2022-05-13,80,"War, Action, History",en
Babylon,78000000,63363579,7.398,2988,2022-12-22,189,"Drama, Comedy",en
Hocus Pocus 2,30000000,0,7.235,1624,2022-09-30,107,"Fantasy, Comedy, Family",en
After the Pandemic,0,0,5.013,77,2022-03-01,84,"Science Fiction, Action",en
Dragon Ball Super: Super Hero,0,86600000,7.897,2801,2022-06-11,99,"Animation, Science Fiction, Action",ja
Accident Man: Hitman's Holiday,0,0,6.56,159,2022-10-14,96,"Action, Comedy, Crime",en
Good Boy,8500,0,6.444,258,2022-06-03,80,"Horror, Thriller",no
Morbius,75000000,167635712,6.014,4250,2022-03-30,105,"Action, Science Fiction, Fantasy",en
Jeepers Creepers: Reborn,5000000,6175213,5.433,969,2022-09-15,88,"Horror, Thriller, Mystery",en
Uncharted,120000000,407141258,6.9,5868,2022-02-10,116,"Action, Adventure",en
The Roundup,7600000,101166707,7.2,286,2022-05-18,106,"Action, Crime, Comedy, Thriller",ko
Everything Everywhere All at Once,25000000,139200000,7.783,6421,2022-03-24,140,"Action, Adventure, Science Fiction",en
The Gray Man,200000000,454023,6.96,3565,2022-07-13,129,"Action, Thriller",en
Through My Window,0,0,7.383,3073,2022-02-04,112,"Romance, Drama, Comedy",es
Luck,0,0,7.78,1678,2022-08-05,105,"Animation, Adventure, Comedy, Fantasy",en
M3GAN,12000000,180089109,7.076,3956,2022-12-28,102,"Science Fiction, Horror",en
After Ever Happy,14000000,19200000,6.805,1203,2022-08-24,95,"Romance, Drama",en
Harry Potter 20th Anniversary: Return to Hogwarts,0,0,7.307,3275,2022-01-01,103,Documentary,en
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,0,11426555,7.366,387,2022-11-25,108,"Animation, Fantasy, Adventure",ja
One Piece Film Red,0,150797338,7.198,989,2022-08-06,115,"Animation, Adventure, Action, Fantasy, Music",ja
"The Boy, the Mole, the Fox and the Horse",0,0,8.264,533,2022-12-25,35,"Animation, Family, Adventure, Fantasy",en
The Woman King,50000000,97300000,7.672,2017,2022-09-16,135,"Action, Drama, History",en
Chip 'n Dale: Rescue Rangers,70000000,623190,7.006,1202,2022-05-20,99,"Animation, Family, Comedy, Adventure, Mystery",en
Disenchanted,0,0,6.725,1067,2022-11-18,119,"Comedy, Family, Fantasy",en
Lightyear,200000000,226400000,6.97,3398,2022-06-15,105,"Animation, Science Fiction, Family, Adventure",en
American Dreamer,0,0,5.717,30,2022-11-04,106,Comedy,en
Sisu,6200000,13000000,7.455,2048,2022-09-09,91,"Action, War, Adventure",fi
Outsource,0,0,5.645,30,2022-01-18,102,"Action, Comedy",en
The Seven Deadly Sins: Grudge of Edinburgh Part 1,0,0,7.79,248,2022-12-20,52,"Animation, Fantasy, Adventure, Action",ja
X,1000000,15113105,6.75,3128,2022-03-17,106,"Horror, Mystery, Thriller",en
Purple Hearts,0,0,8.114,2490,2022-07-29,122,"Romance, Drama",en
Emancipation,0,0,7.831,1105,2022-12-02,132,"Drama, War, History",en
The In Between,0,0,7.374,701,2022-02-11,116,"Romance, Science Fiction, Drama",en
Scream,24000000,137743924,6.669,3222,2022-01-12,114,"Horror, Mystery, Thriller",en
Project Wolf Hunting,9000000,20541,6.367,338,2022-09-21,122,"Action, Thriller, Horror, Crime",ko
Attack,9600000,2600000,6.735,204,2022-04-01,123,"Action, Science Fiction, Thriller",hi
