title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Transmorphers: Mech Beasts,0,0,3.7,15,2023-06-09,84,"Action, Science Fiction",en
King of Killers,0,0,6.484,125,2023-09-01,91,"Action, Thriller",en
Flamin' Hot,0,0,7.952,627,2023-03-11,99,"Drama, History",en
My Fault,0,0,7.924,2945,2023-06-08,117,"Romance, Drama",es
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",0,0,7.16,465,2023-10-21,48,"Animation, Adventure, Action, Fantasy, Family",fr
Mantra Warrior: The Legend of The Eight Moons,0,0,6.407,27,2023-10-11,90,"Animation, Action, Adventure, Fantasy, Science Fiction",th
In Your Dreams,0,0,7.322,73,2023-02-03,0,"Romance, Comedy, Drama",tr
Migration,72000000,298776052,7.446,1726,2023-12-06,83,"Animation, Action, Adventure, Comedy, Family",en
Transformers: Rise of the Beasts,195000000,439000000,7.304,4509,2023-06-06,127,"Science Fiction, Adventure, Action",en
Oppenheimer,100000000,952000000,8.087,9032,2023-07-19,181,"Drama, History",en
The Marvels,274800000,207089999,6.067,2610,2023-11-08,105,"Science Fiction, Adventure, Action",en
John Wick: Chapter 4,90000000,440157245,7.736,6378,2023-03-22,170,"Action, Thriller, Crime",en
Barbie,145000000,1445638421,7.017,8955,2023-07-19,114,"Comedy, Adventure",en
Lassie: A New Adventure,0,4918295,6.4,10,2023-07-27,88,"Adventure, Family",de
Fast X,340000000,704709660,7.086,5481,2023-05-17,142,"Action, Crime, Thriller",en
Mayhem!,4920000,1500000,6.667,156,2023-06-28,99,"Action, Crime, Drama",fr
Out of Exile,0,0,6.436,39,2023-01-20,107,"Thriller, Drama, Action, Crime",en
Nada que ver,0,0,8.206,143,2023-03-02,90,"Romance, Comedy",es
Hunting Games,0,0,4.156,16,2023-05-12,94,"Action, Thriller, TV Movie",en
The Quest for Tom Sawyer's Gold,0,107398,4.65,10,2023-06-22,88,"Adventure, Family",en
The Boy and the Heron,50000000,294200000,7.496,1666,2023-07-14,124,"Animation, Adventure, Fantasy, Family, Drama",ja
Anyone But You,25000000,214891370,6.964,2083,2023-12-21,103,"Romance, Comedy",en
The Devil Comes at Night,0,0,6.868,19,2023-06-06,80,Horror,en
Elemental,200000000,496000000,7.641,4367,2023-06-14,102,"Animation, Comedy, Family, Fantasy, Romance",en
