title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Wish Dragon,0,25860000,7.9,1321,2021-01-15,99,"Animation, Family, Comedy, Fantasy",en
To All the Boys: Always and Forever,0,0,7.556,1881,2021-02-12,115,"Romance, Comedy, Drama",en
The Seven Deadly Sins: Cursed by Light,0,1094673,7.732,473,2021-07-02,79,"Animation, Fantasy",ja
Spiral: From the Book of Saw,20000000,40618920,5.972,1968,2021-05-12,93,"Horror, Mystery",en
The Harder They Fall,0,0,6.647,1037,2021-10-22,139,Western,en
Run Hide Fight,2000000,34561,6.757,284,2021-06-17,109,"Action, Crime, Thriller",en
The Simpsons in Plusaversary,0,0,6.543,406,2021-11-12,4,"Animation, Comedy, Fantasy",en
Night of the Animated Dead,0,0,6.16,106,2021-09-21,70,"Animation, Horror",en
Last Man Down,0,0,6.2,669,2021-03-30,87,"Action, Thriller, Mystery",en
The Immortal Wars: Rebirth,0,0,7.038,13,2021-11-02,84,Science Fiction,en
Mortal Kombat Legends: Battle of the Realms,0,0,7.623,426,2021-08-30,80,"Animation, Action, Fantasy",en
The Warrior Princess,0,0,7.436,94,2021-12-03,108,"History, Action, Drama",mn
Substance noire,0,0,8.0,1,2021-01-07,0,Fantasy,fr
Being James Bond,0,0,7.762,82,2021-08-29,46,Documentary,en
CODA,10000000,1905058,7.9,2178,2021-08-13,112,"Drama, Music, Romance",en
The Voyeurs,0,0,6.625,901,2021-08-25,117,Thriller,en
The Last Mercenary,0,0,6.445,605,2021-07-30,110,"Action, Comedy",fr
Untold: Deal with the Devil,0,0,6.964,56,2021-08-17,77,Documentary,en
The Loud House Movie,0,0,7.328,177,2021-08-20,83,"Animation, Family, Comedy, Adventure, Fantasy",en
Don't Breathe 2,10000000,53800000,7.073,2521,2021-08-12,98,"Thriller, Horror",en
The Many Saints of Newark,50000000,13037403,6.347,651,2021-09-22,120,"Crime, Drama",en
King Richard,50000000,39400000,7.659,2420,2021-11-18,144,"Drama, History",en
Cinderella,0,0,6.387,1371,2021-09-03,113,"Fantasy, Romance, Comedy",en
Licorice Pizza,40000000,33276075,6.978,2196,2021-11-26,133,"Drama, Comedy, Romance",en
Snake Eyes: G.I. Joe Origins,88000000,36964325,6.5,1526,2021-07-22,121,"Action, Adventure",en
Cherry,40000000,0,7.4,1238,2021-02-26,140,"Drama, Crime",en
Chernobyl: Abyss,9100000,6459306,6.252,502,2021-04-15,136,"Drama, History, Adventure, Action, Fantasy, Mystery",ru
"Batman: The Long Halloween, Part Two",0,0,7.422,500,2021-07-26,87,"Animation, Mystery, Action, Crime",en
Restart the Earth,0,0,6.844,135,2021-09-03,89,"Science Fiction, Horror, Action",zh
Sinkhole,11400000,17970000,6.95,130,2021-08-11,113,"Comedy, Drama, Adventure",ko
The Innocents,3400000,322000,6.919,590,2021-09-03,117,"Horror, Drama, Fantasy",no
Tom Clancy's Without Remorse,0,0,6.978,2411,2021-04-29,109,"Action, Thriller, War",en
A Writer's Odyssey,0,150123320,7.15,284,2021-02-12,130,"Fantasy, Action, Adventure, Drama",zh
Crazy Fist,0,0,6.9,54,2021-05-06,97,Action,zh
Major Grom: Plague Doctor,10000000,4500000,6.7,580,2021-04-01,136,"Action, Adventure",ru
Stillwater,20000000,19754272,6.639,1201,2021-07-29,139,"Drama, Crime, Thriller",en
Mahjong Nights,0,0,5.6,8,2021-11-12,111,Drama,tl
Sweet Girl,0,0,6.645,1173,2021-08-18,110,"Action, Thriller, Drama",en
Clifford the Big Red Dog,64000000,107347356,7.2,1716,2021-11-10,97,"Family, Adventure, Comedy, Fantasy, Animation",en
No Man of God,0,0,6.59,277,2021-08-19,100,"Crime, Drama, Thriller, History",en
Spirit Untamed,30000000,17635215,7.277,512,2021-05-20,88,"Animation, Adventure, Family, Western",en
Awake,0,0,5.896,1046,2021-06-09,96,"Drama, Science Fiction, Thriller",en
The Last Warrior: Emissary of Darkness,7000000,29694624,6.912,51,2021-12-23,108,"Fantasy, Adventure, Comedy",ru
Idol Seungha's R-Rated Film Shooting,0,0,6.6,39,2021-06-24,61,Drama,ko
The Serpent,0,0,6.159,41,2021-01-28,90,Action,en
Upon the Magic Roads,8020000,0,6.73,224,2021-02-18,100,"Adventure, Fantasy",ru
Monster Pets: A Hotel Transylvania Short,0,0,7.4,394,2021-04-02,6,"Animation, Comedy, Fantasy",en
Boss Level,45000000,2000000,6.885,1577,2021-02-19,101,"Action, Science Fiction, Thriller",en
Dynasty Warriors,38504400,3310000,5.966,131,2021-04-27,118,"Action, Adventure, Fantasy",cn
Doors,0,0,4.909,164,2021-03-23,84,Science Fiction,en
Around the World in 80 Days,20000000,0,5.741,82,2021-08-04,82,"Animation, Family, Comedy",fr
24 Year Old Yoon Yul's Sexy Breasts,0,0,7.222,18,2021-03-01,70,"Drama, Romance",ko
The Woman in the Window,4000000,0,6.019,1917,2021-05-13,102,"Crime, Mystery, Thriller",en
The Burning Sea,8300000,2836382,6.637,233,2021-10-29,104,"Action, Adventure, Thriller",no
While We Sleep,0,0,5.1,17,2021-10-01,92,Horror,en
The Mitchells vs. the Machines,75000000,0,7.9,2905,2021-04-22,110,"Animation, Adventure, Comedy",en
"Batman: The Long Halloween, Part One",0,0,7.457,610,2021-06-21,85,"Animation, Mystery, Action, Crime",en
Mission: Possible,0,0,7.533,166,2021-02-17,105,"Comedy, Action, Thriller",ko
"The Good, the Bart, and the Loki",0,0,7.272,657,2021-07-07,6,"Animation, Comedy, Family",en
Spencer,18000000,14000000,6.821,1606,2021-11-04,117,"Drama, History",en
Fear Street: 1994,0,0,6.703,2251,2021-06-28,107,"Horror, Mystery",en
Queenpins,7000000,0,6.506,417,2021-08-26,110,"Comedy, Crime",en
Serial (Bad) Weddings 3,22000000,27832384,6.271,356,2021-12-21,97,"Romance, Comedy",fr
The Protégé,0,8639684,6.574,959,2021-08-19,109,"Action, Adventure, Thriller",en
Vivo,0,0,7.311,695,2021-07-30,103,"Animation, Family, Comedy",en
Snoopy Presents: For Auld Lang Syne,0,0,7.2,99,2021-12-09,39,"Animation, Family, Comedy",en
Benedetta,24350000,2652725,6.625,973,2021-07-09,131,"History, Drama, Romance",fr
Ciao Alberto,45223,0,7.4,655,2021-11-11,7,"Animation, Comedy, Family, Fantasy",en
Pig,3000000,3889432,6.654,1373,2021-07-16,92,"Drama, Thriller",en
Pretty Guardian Sailor Moon Eternal the Movie Part 1,0,0,7.832,173,2021-01-08,81,"Animation, Action, Fantasy",ja
John and the Hole,0,25386,5.48,123,2021-08-06,103,"Drama, Thriller, Horror",en
Death Alley,1200000,0,5.3,33,2021-03-11,94,"Western, Action",en
Sword Art Online the Movie – Progressive – Aria of a Starless Night,0,14037060,7.89,282,2021-10-30,97,"Animation, Action, Fantasy, Science Fiction",ja
Mickey and Minnie Wish Upon a Christmas,0,0,7.0,161,2021-12-02,47,"Animation, TV Movie, Comedy",en
House of Gucci,75000000,153235995,6.599,3062,2021-11-24,158,"History, Drama, Crime",en
The Eden Theory,0,0,5.0,3,2021-05-05,107,"Horror, Science Fiction",en
The Fallout,0,0,7.614,1084,2021-03-17,96,Drama,en
The Medium,0,7230000,7.0,624,2021-07-14,131,"Horror, Thriller",th
12 Mighty Orphans,0,3615193,7.2,213,2021-06-18,118,"History, Drama, Action",en
Coming 2 America,60000000,0,6.4,2190,2021-03-04,110,Comedy,en
Olympians at Heart,0,0,8.0,3,2021-07-17,88,Family,en
Army of Thieves,30000000,46900000,6.839,1998,2021-10-29,127,"Action, Thriller, Crime, Comedy",en
Mainstream,5000000,0,6.372,286,2021-05-07,95,"Comedy, Drama",en
Minari,2000000,12900000,7.3,1584,2021-02-12,115,Drama,en
Fear Street: 1978,0,0,7.184,1881,2021-07-08,110,"Horror, Mystery",en
Yes Day,0,0,6.7,1179,2021-03-12,86,"Family, Comedy",en
Those Who Wish Me Dead,20000000,23384502,6.658,1608,2021-05-05,100,"Thriller, Action",en
State of Siege: Temple Attack,0,0,6.194,31,2021-07-09,106,"Action, Drama",hi
Tourist,0,0,6.65,30,2021-05-19,99,Action,ru
Nobody Sleeps in the Woods Tonight 2,0,0,4.672,297,2021-10-27,97,"Horror, Thriller, Comedy",pl
The Tragedy of Macbeth,0,176248,6.9,738,2021-12-05,105,"Drama, War",en
Voyagers,20000000,4298184,5.975,845,2021-04-08,108,"Science Fiction, Thriller",en
Trollhunters: Rise of the Titans,0,0,7.528,327,2021-07-21,106,"Animation, Fantasy, Family, Action, Adventure",en
Fatherhood,0,0,7.548,1379,2021-06-18,109,"Drama, Comedy",en
The Last Letter from Your Lover,0,1451974,7.418,591,2021-07-23,110,"Drama, Romance",en
Escape Room: Tournament of Champions,15000000,65774490,6.554,1973,2021-07-01,88,"Horror, Thriller, Mystery",en
South Park: Post COVID: The Return of COVID,0,0,7.4,393,2021-12-16,62,"Animation, Comedy, TV Movie",en
The Unforgivable,0,0,7.447,1789,2021-11-24,112,"Drama, Crime",en
"tick, tick... BOOM!",0,0,7.65,2022,2021-11-11,115,"Drama, Music",en
The Night House,0,14600000,6.613,1107,2021-07-15,107,"Drama, Horror, Mystery, Thriller",en
Mousa,0,0,6.603,29,2021-08-11,101,"Action, Adventure, Science Fiction",ar
Sooryavanshi,13000000,35000000,5.8,155,2021-11-05,145,"Action, Crime, Thriller",hi
Smile,180,0,5.5,6,2021-09-07,9,"Thriller, Horror",es
The White Tiger,0,0,6.957,863,2021-01-13,125,Drama,en
The French Dispatch,25000000,46333545,7.051,2541,2021-10-21,108,"Drama, Comedy",en
The Little Things,30000000,29942746,6.329,2444,2021-01-28,128,"Drama, Crime, Thriller",en
Pushpa: The Rise,0,44880143,7.046,120,2021-12-16,179,"Action, Drama, Thriller",te
I Care a Lot,0,0,6.6,2637,2021-02-19,119,"Comedy, Crime, Thriller, Drama",en
Cloudy Mountain,0,58340541,7.395,214,2021-09-11,114,"Action, Adventure, Drama",zh
The Survivalist,0,0,4.346,81,2021-12-02,91,"Action, Science Fiction, Thriller",en
Antlers,17000000,18867659,6.239,1074,2021-10-28,99,"Drama, Horror, Mystery",en
Don't Look Up,75000000,791863,7.091,8111,2021-12-08,138,"Comedy, Science Fiction, Drama",en
Trolls Holiday in Harmony,0,0,7.151,179,2021-11-26,30,"Animation, Fantasy, Family, Comedy",en
Prisoners of the Ghostland,0,0,5.006,560,2021-08-31,103,"Action, Fantasy, Horror",en
Mírame,0,0,6.8,65,2021-08-20,96,Horror,es
Flora & Ulysses,0,0,6.517,241,2021-02-19,91,"Family, Adventure, Comedy, Fantasy",en
The Cursed,0,4588389,6.609,320,2021-07-28,111,"Horror, Drama, Thriller",en
Monster,0,0,6.364,92,2021-07-15,98,"Crime, Drama",en
Nightmare Alley,60000000,39629195,6.993,2864,2021-12-02,150,"Crime, Drama, Thriller",en
Thunder Force,0,0,5.493,1216,2021-04-09,107,"Comedy, Action, Adventure, Science Fiction",en
Meander,0,700000,5.983,407,2021-07-01,91,"Horror, Science Fiction, Drama, Thriller",fr
Untold: Malice at the Palace,0,0,7.173,101,2021-08-10,69,"Documentary, Crime",en
Photocopier,0,0,6.953,256,2021-10-08,130,"Drama, Mystery, Thriller",id
A Boy Called Christmas,0,3700000,7.3,691,2021-11-24,104,"Family, Adventure, Fantasy",en
Naked Singularity,0,0,4.5,66,2021-08-06,94,"Crime, Drama",en
The Legend of the Christmas Witch: The Origins,0,0,6.099,71,2021-12-30,116,"Family, Fantasy, Comedy",it
Escape from Mogadishu,0,29855981,7.038,156,2021-07-28,121,"War, Action, Thriller, Drama, History",ko
The Dig,0,0,6.873,1162,2021-01-14,112,"Drama, History",en
The Summit of the Gods,9850000,1756552,7.83,338,2021-09-22,95,"Animation, Adventure, Mystery",fr
Catman,0,0,7.4,204,2021-05-18,90,"Romance, Fantasy, Comedy",zh
The 8th Night,0,0,6.121,128,2021-07-02,115,"Mystery, Thriller, Horror",ko
Ron's Gone Wrong,0,60692022,7.907,1830,2021-10-14,107,"Animation, Science Fiction, Family, Comedy",en
Kingdom: Ashin of the North,0,0,7.099,530,2021-07-23,92,"Drama, Fantasy, Thriller",ko
Las Leyendas: El Origen,800000,0,8.247,249,2021-02-15,90,"Animation, Comedy, Fantasy, Adventure, Family, Horror",es
Ostap Bender: The Final Hustle,0,0,8.1,46,2021-11-05,97,"Adventure, Comedy, Action, Crime",ru
Copshop,0,6807158,6.235,748,2021-09-09,108,"Thriller, Crime, Action",en
Weekend Warriors,0,0,7.575,20,2021-04-01,93,"Action, Thriller",en
Dangerous Younger Cousin,0,0,10.0,2,2021-11-23,71,"Drama, Family",ko
Belle,0,63501160,7.69,711,2021-07-16,122,"Animation, Science Fiction, Drama, Music",ja
The Resort,0,0,5.72,245,2021-04-30,75,Horror,en
Rabbids Invasion - Mission To Mars,0,0,6.3,37,2021-09-29,70,"Animation, Comedy",fr
THE FABLE: The Killer Who Doesn't Kill,0,0,7.091,77,2021-02-05,132,"Action, Comedy, Crime",ja
Nothing Serious,0,0,6.7,31,2021-11-24,95,"Romance, Comedy",ko
Ghost Mansion,0,0,7.31,197,2021-06-30,106,Horror,ko
Pitbull: Exodus,0,1866660,7.181,108,2021-11-11,112,"Action, Thriller, Crime",pl
SAS: Red Notice,0,0,5.81,521,2021-08-11,120,"Drama, Action, Thriller",en
JJ+E,0,0,5.788,139,2021-09-08,91,"Romance, Drama",sv
Us Again,0,0,7.8,311,2021-03-03,7,"Animation, Drama, Family",en
The Vault,15000000,8804000,6.827,938,2021-03-04,114,"Drama, Action, Thriller",en
Mission «Sky»,0,0,8.48,50,2021-11-18,110,"Drama, War",ru
Master,0,0,6.8,88,2021-01-13,179,"Action, Thriller, Crime, Adventure",ta
Narco Sub,0,0,6.6,258,2021-01-22,93,Action,en
Dream Horse,20000000,6435260,7.033,121,2021-05-21,113,"Comedy, Drama",en
Zarnitsa,0,0,5.5,5,2021-04-26,21,Drama,ru
Why Women Cheat,0,0,2.8,4,2021-07-06,77,Romance,en
Becoming Cousteau,0,244223,7.1,27,2021-10-22,94,Documentary,en
Two Sisters' Sexy Pervert,0,0,0.0,0,2021-09-11,72,Romance,ko
Nightbooks,0,0,6.127,371,2021-09-15,101,"Fantasy, Family, Horror",en
Hypnotic,0,0,6.045,605,2021-10-27,89,"Thriller, Drama, Horror",en
Child of Kamiari Month,0,0,6.5,66,2021-10-08,100,"Animation, Drama, Fantasy, Family",ja
Willy's Wonderland,5000000,431020,6.038,966,2021-02-12,88,"Action, Horror, Comedy",en
Jai Bhim,0,0,7.47,148,2021-11-02,164,"Crime, Drama, Mystery",ta
A Christmas Miracle for Daisy,0,0,5.923,97,2021-12-11,85,"Romance, Comedy, Family, TV Movie",en
13 Minutes,0,67413,5.965,212,2021-10-29,109,"Action, Drama, Thriller",en
Blood Red Sky,17739525,0,6.9,1511,2021-07-23,123,"Horror, Thriller, Action",de
To Kill the Beast,0,0,6.1,144,2021-12-10,89,"Mystery, Fantasy, Thriller",es
Mickey's Tale of Two Witches,0,0,7.0,112,2021-10-07,46,"Animation, TV Movie",en
Summer Ghost,0,0,7.3,117,2021-11-12,40,"Animation, Drama, Mystery, Fantasy",ja
Antarvasna,0,0,0.0,0,2021-03-20,15,Drama,mr
Init!ation,0,0,5.2,135,2021-05-07,96,"Horror, Mystery",en
The Green Knight,15000000,18887953,6.595,1845,2021-07-29,130,"Adventure, Drama, Fantasy",en
Rumble,0,0,6.799,501,2021-02-12,95,"Animation, Family",en
A Stalker in the House,400000,0,5.6,8,2021-11-06,84,Thriller,en
Penguin Bloom,0,0,6.9,298,2021-01-21,95,Drama,en
South Park: Post COVID,0,0,7.2,306,2021-11-25,59,"Animation, Comedy, TV Movie",en
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,0,0,7.8,381,2021-09-14,72,"Animation, Comedy, Mystery, Family, Fantasy, Adventure, Horror",en
Mass,0,131357,7.515,235,2021-10-08,111,Drama,en
The Advent Calendar,0,456555,6.709,327,2021-12-01,104,"Horror, Thriller, Drama",fr
One Shot,0,29439,6.8,843,2021-11-05,97,Action,en
Reckless Summer,0,0,6.2,28,2021-09-17,110,"TV Movie, Drama",fr
The Desperate Hour,0,0,6.0,424,2021-09-12,84,Thriller,en
Last Night in Soho,43000000,22957625,7.3,3298,2021-10-21,116,"Horror, Mystery, Thriller",en
The Power of the Dog,0,0,6.782,2612,2021-10-25,126,"Drama, Western",en
Schumacher,0,0,7.315,368,2021-09-15,112,Documentary,en
Home Sweet Home Alone,15000000,0,4.939,610,2021-11-11,93,"Comedy, Crime, Family",en
The Worst Person in the World,5000000,11800000,7.503,1316,2021-10-13,128,"Drama, Romance, Comedy",no
The Ice Road,0,7502846,6.8,1654,2021-06-24,108,"Action, Thriller",en
West Side Story,100000000,76016171,7.0,1526,2021-12-08,156,"Drama, Romance, Crime",en
Bliss,0,0,5.5,600,2021-02-05,103,"Science Fiction, Romance, Drama",en
Ostap Bender. The Empire's Gold,567000,0,6.9,68,2021-07-15,87,"Comedy, Adventure, Action",ru
Sweet & Sour,0,0,7.785,181,2021-06-04,101,"Drama, Romance, Comedy",ko
Drive My Car,1300000,15356046,7.419,1225,2021-08-18,179,Drama,ja
The Auschwitz Report,0,360868,6.346,65,2021-03-18,95,"Drama, History, War",sk
Recalled,0,0,6.9,87,2021-04-21,99,"Mystery, Thriller",ko
Lamb,0,3200000,6.466,851,2021-08-12,106,"Drama, Fantasy, Horror",is
Aunt,0,0,8.0,1,2021-07-28,96,Romance,ko
A Dog Named Palma,0,0,8.1,168,2021-03-18,110,"Family, Romance",ru
Taya,0,0,5.5,11,2021-08-27,103,"Thriller, Crime, Drama",tl
Fear Street: 1666,0,0,7.124,1672,2021-07-14,114,"Mystery, Horror",en
The Kindred,0,0,6.4,113,2021-12-28,94,Horror,en
Extraction Point,0,0,5.4,37,2021-06-29,73,"Science Fiction, Action, Thriller",en
American Traitor: The Trial of Axis Sally,0,2011012,5.63,69,2021-05-28,107,"History, Drama",en
The Last Son,0,0,5.7,121,2021-12-10,96,"Western, Action, Adventure, Drama",en
Mutation on Mars,0,0,6.65,60,2021-08-27,75,"Drama, Science Fiction",zh
Cube,0,0,5.4,105,2021-10-22,108,"Thriller, Mystery, Science Fiction",ja
Woodlands Dark and Days Bewitched: A History of Folk Horror,0,0,7.2,16,2021-09-09,193,"Documentary, History",en
Mount Adams,0,0,6.045,11,2021-07-21,94,"Action, Adventure, Science Fiction",en
Untold: Breaking Point,0,0,7.6,44,2021-09-07,79,Documentary,en
My Little Pony: A New Generation,0,4100000,7.7,307,2021-09-22,91,"Animation, Family, Fantasy, Comedy, Adventure",en
The Forgotten Battle,14000000,0,7.1,657,2021-06-05,126,"Action, War, Adventure, History, Drama",nl
Love Hard,0,0,6.961,1445,2021-11-05,105,"Comedy, Romance",en
Ride or Die,0,0,6.8,157,2021-04-15,142,"Drama, Romance, Thriller",ja
Queen of Spades,0,0,6.1,78,2021-06-11,91,Horror,en
Apex,0,0,5.204,565,2021-11-12,108,"Action, Thriller, Science Fiction",en
Descendants: The Royal Wedding,0,0,6.683,153,2021-08-13,22,"Animation, Family, Comedy, Drama",en
Dangerous,0,0,6.1,440,2021-11-05,99,"Action, Thriller",en
Drishyam 2,0,0,7.663,104,2021-02-19,153,"Thriller, Drama, Crime",ml
Guimoon: The Lightless Door,0,0,6.7,80,2021-08-25,85,"Horror, Thriller",ko
