title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Pleasure,1800000,393824,6.2,526,2021-10-08,108,Drama,sv
Spider-Man: No Way Home,200000000,1921847111,7.96,19929,2021-12-15,148,"Action, Adventure, Science Fiction",en
The Suicide Squad,185000000,168717425,7.511,8502,2021-07-28,132,"Action, Comedy, Adventure",en
Dune,165000000,407573628,7.785,12473,2021-09-15,155,"Science Fiction, Adventure",en
Venom: Let There Be Carnage,110000000,506863592,6.797,9942,2021-09-30,97,"Science Fiction, Action, Adventure",en
Sing 2,85000000,406000000,7.867,4330,2021-12-01,110,"Animation, Family, Music, Comedy",en
Female Teacher Closing the Door,0,0,7.0,1,2021-10-03,71,"Romance, Drama",ja
Raya and the Last Dragon,100000000,130423032,7.848,6717,2021-03-03,107,"Animation, Family, Fantasy, Action, Adventure",en
Eternals,200000000,402064899,6.9,8168,2021-11-03,156,"Science Fiction, Action, Adventure",en
The Conjuring: The Devil Made Me Do It,39000000,206431050,7.437,5844,2021-05-25,111,"Horror, Mystery, Thriller",en
Shang-Chi and the Legend of the Ten Rings,150000000,432243292,7.55,9280,2021-09-01,132,"Action, Adventure, Fantasy",en
Ghostbusters: Afterlife,75000000,204334455,7.386,4537,2021-11-18,124,"Fantasy, Comedy, Adventure, Science Fiction",en
A Quiet Place Part II,61000000,297372261,7.491,6427,2021-05-21,96,"Science Fiction, Thriller, Horror",en
Meteor,0,0,5.5,95,2021-09-01,84,"Science Fiction, Thriller",en
Wrath of Man,40000000,103966489,7.632,5192,2021-04-22,118,"Crime, Action, Thriller",en
Wrong Turn,0,3777969,6.0,1116,2021-01-26,110,"Horror, Thriller",en
Monster's Battlefield,0,0,6.84,169,2021-12-27,0,Science Fiction,zh
Encanto,50000000,253000000,7.601,9369,2021-10-13,102,"Animation, Comedy, Family, Fantasy",en
The Matrix Resurrections,190000000,156497322,6.408,5651,2021-12-16,147,"Science Fiction, Action, Adventure",en
Titane,6600000,4982335,6.391,1409,2021-07-14,108,"Drama, Thriller, Horror",fr
Miraculous World: Shanghai – The Legend of Ladydragon,0,0,7.892,631,2021-05-15,54,"Animation, Fantasy, Action, TV Movie",fr
Free Guy,110000000,331526598,7.501,8635,2021-08-11,115,"Comedy, Adventure, Science Fiction",en
Girl in the Basement,0,0,7.681,683,2021-02-27,88,"Thriller, Crime, TV Movie",en
Zack Snyder's Justice League,70000000,0,8.1,9902,2021-03-18,242,"Action, Adventure, Fantasy",en
Nobody,17000000,61779301,7.955,6989,2021-03-18,92,"Action, Thriller",en
Cruella,200000000,233503234,8.011,9232,2021-05-26,134,"Comedy, Crime, Family, Adventure",en
Jujutsu Kaisen 0,0,195870885,8.168,1375,2021-12-24,105,"Animation, Action, Fantasy",ja
Luca,200000000,51074773,7.82,8251,2021-06-17,95,"Animation, Comedy, Fantasy, Adventure, Family",en
After We Fell,14000000,21800000,7.062,2547,2021-09-01,99,"Romance, Drama",en
Resident Evil: Welcome to Raccoon City,25000000,41914915,5.97,2412,2021-11-24,107,"Horror, Science Fiction, Action",en
Halloween Kills,20000000,133423964,6.445,2623,2021-10-14,105,"Horror, Thriller",en
Rurouni Kenshin: The Beginning,0,0,7.677,443,2021-06-04,138,"Action, Adventure, Drama, Romance",ja
The Boss Baby: Family Business,82000000,146745280,7.374,2499,2021-07-01,107,"Animation, Comedy, Adventure, Family",en
The Tomorrow War,200000000,14400000,7.532,3380,2021-09-03,138,"Action, Science Fiction, Adventure",en
The King's Man,100000000,125900000,6.755,4440,2021-12-22,131,"Action, Comedy, Adventure, Thriller",en
The Forever Purge,18000000,76994245,6.946,2468,2021-06-30,103,"Horror, Action, Thriller",en
Paranormal Activity: Next of Kin,0,0,6.129,651,2021-10-29,98,"Horror, Mystery",en
The Addams Family 2,0,119815153,6.991,1267,2021-10-01,93,"Family, Animation, Comedy, Fantasy, Adventure",en
Hunters,0,0,6.0,19,2021-09-13,95,Action,en
Hitman's Wife's Bodyguard,70000000,70060492,6.684,2238,2021-06-14,100,"Action, Comedy, Crime, Thriller",en
No Time to Die,250000000,774153024,7.375,6176,2021-09-29,163,"Action, Thriller, Adventure",en
Peter Rabbit 2: The Runaway,45000000,153000000,7.123,789,2021-03-25,93,"Family, Comedy, Adventure, Animation",en
Jungle Cruise,200000000,220889446,7.371,5618,2021-07-28,127,"Fantasy, Adventure",en
Rurouni Kenshin: The Final,0,33457923,7.706,465,2021-04-23,138,"Action, Adventure, History, Drama",ja
Red Notice,160000000,178143,6.774,5705,2021-11-04,118,"Action, Comedy, Crime",en
The Last Duel,100000000,30500000,7.44,3299,2021-10-13,153,"History, Drama, Action",en
The Kissing Booth 3,0,0,6.906,1876,2021-08-11,112,"Romance, Comedy",en
Infinite,0,0,6.616,1779,2021-09-09,106,"Science Fiction, Action, Adventure, Thriller",en
Hell Hath No Fury,0,0,6.484,95,2021-11-05,94,"Action, War",en
Black Widow,200000000,379751131,7.239,10073,2021-01-01,134,"Action, Adventure, Science Fiction",en
Finch,2500000,0,7.885,3436,2021-11-04,115,"Science Fiction, Drama, Adventure",en
Mortal Kombat,20000000,84426031,7.037,5765,2021-04-07,110,"Action, Fantasy, Adventure",en
Gini Mal Pokuru,0,0,0.0,0,2021-12-03,120,"Crime, Thriller",en
PAW Patrol: The Movie,26000000,144327371,7.391,1205,2021-08-09,86,"Animation, Family, Adventure, Comedy",en
He's All That,0,0,6.524,1359,2021-08-27,91,"Comedy, Romance",en
My Hero Academia: World Heroes' Mission,0,40856547,7.595,523,2021-08-06,105,"Animation, Action, Adventure, Science Fiction, Fantasy",ja
Palmer,0,0,8.137,1577,2021-01-28,110,Drama,en
F9,200000000,726229501,7.08,7132,2021-05-19,143,"Action, Adventure, Crime",en
Godzilla vs. Kong,200000000,470116094,7.6,9900,2021-03-24,114,"Action, Science Fiction, Adventure",en
V/H/S/94,0,0,6.147,442,2021-09-26,104,"Horror, Thriller",en
The Electrical Life of Louis Wain,0,0,6.929,438,2021-10-21,111,"Drama, History, Comedy",en
7th & Union,0,0,7.387,31,2021-06-02,98,Drama,en
Simple Passion,0,75167,5.695,87,2021-01-14,99,"Romance, Drama",fr
Chaos Walking,125000000,26508132,6.593,2248,2021-02-24,109,"Fantasy, Science Fiction, Adventure",en
Tamil Rockers,0,0,6.0,1,2021-12-31,98,"Comedy, Thriller",ta
Return of Special Forces 5,0,0,4.2,5,2021-07-10,97,Action,zh
The Monkey King: Reborn,20000000,0,7.184,318,2021-04-02,95,"Animation, Action, Fantasy, Family",zh
Megaboa,0,0,6.353,460,2021-11-26,100,"Action, Horror, Science Fiction",en
Hard Hit,0,0,7.555,201,2021-06-23,94,"Action, Crime, Drama, Thriller",ko
Eva,0,0,5.357,14,2021-12-24,95,"Drama, Romance",tl
The Unholy,10000000,30800000,6.6,2132,2021-03-31,99,"Horror, Mystery",en
Army of the Dead,90000000,190700000,6.237,3954,2021-05-14,148,"Action, Crime, Horror",en
Granit,0,0,7.2,38,2021-12-29,100,"Action, War",ru
The Sadness,0,0,6.806,826,2021-01-22,99,"Horror, Thriller",zh
Apache Junction,0,0,6.351,171,2021-09-24,94,"Western, Action, Crime",en
Space Jam: A New Legacy,150000000,163692228,6.731,3979,2021-07-08,115,"Family, Animation, Comedy, Science Fiction",en
Malignant,40000000,34891791,6.8,2252,2021-09-01,111,"Horror, Mystery",en
Ip Man: The Awakening,0,0,6.9,157,2021-09-16,76,"Action, Adventure, History, Drama",zh
The Accursed,0,0,6.6,141,2021-11-12,85,Horror,en
Carpoolers,0,0,6.015,33,2021-09-10,87,Comedy,es
Tom & Jerry,50000000,136536687,6.8,2423,2021-02-10,101,"Comedy, Family, Animation",en
The Hating Game,0,0,7.371,1016,2021-12-09,102,"Drama, Comedy, Romance",en
The Marksman,23000000,23076711,6.842,1562,2021-01-15,108,"Action, Drama, Thriller",en
LEGO Star Wars Terrifying Tales,0,0,6.838,244,2021-10-01,45,"Animation, Family, Science Fiction, Comedy, TV Movie",en
Midnight,0,0,7.183,241,2021-06-30,103,"Thriller, Crime",ko
Jolt,0,238524,6.592,1232,2021-07-15,91,"Action, Thriller",en
Evangelion: 3.0+1.0 Thrice Upon a Time,29700000,93882453,8.252,799,2021-03-08,155,"Animation, Action, Science Fiction, Drama",ja
Old,18000000,90146510,6.338,4361,2021-07-21,108,"Thriller, Mystery, Horror",en
Planet Dune,0,0,5.224,58,2021-10-29,86,"Science Fiction, Horror, Adventure",en
