title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Lucy Shimmers and the Prince of Peace,0,0,8.4,258,2020-10-19,87,"Drama, Family",en
Barbie: Princess Adventure,0,0,7.043,235,2020-09-01,72,"Animation, Music",en
Don't Listen,0,443458,6.5,734,2020-07-24,98,"Drama, Horror, Thriller",es
Young Mother 5,0,0,5.75,12,2020-04-03,95,"Drama, Romance",ko
A Whisker Away,0,0,7.883,1364,2020-06-18,104,"Animation, Drama, Romance, Fantasy",ja
Freaky,5000000,15100000,6.568,1592,2020-11-12,102,"Comedy, Horror",en
Monsters of Man,1900000,0,6.4,338,2020-11-19,132,Science Fiction,en
Swingers,0,0,4.5,2,2020-08-24,47,Documentary,en
Girl,0,0,6.1,212,2020-12-11,90,Thriller,en
Mom's Friend 2020,0,0,1.0,1,2020-06-05,61,Romance,ko
Violet Evergarden: The Movie,0,20339624,8.269,403,2020-09-18,140,"Animation, Fantasy, Romance, Drama",ja
Host,100000,443807,6.5,909,2020-12-04,57,"Horror, Thriller, Mystery",en
Gretel & Hansel,5000000,22304357,5.98,1380,2020-01-30,87,"Fantasy, Horror, Mystery",en
The Unhealer,0,0,6.1,72,2020-10-09,94,"Fantasy, Thriller, Horror",en
The Mercenary,0,0,6.1,26,2020-01-07,91,Action,en
Onward,200000000,141940042,7.686,6070,2020-02-29,103,"Family, Animation, Adventure, Comedy, Fantasy",en
Ben 10 vs. the Universe: The Movie,0,0,7.5,119,2020-10-02,70,"Animation, Action, Adventure, Science Fiction",en
Come Play,9000000,8119285,6.398,663,2020-10-28,96,"Horror, Mystery, Thriller",en
Ammonite,0,1396905,6.995,561,2020-11-13,118,"Romance, Drama",en
Underwater,50000000,40882928,6.286,3070,2020-01-08,95,"Horror, Science Fiction, Action, Adventure",en
The New Mutants,67000000,49169594,6.1,3375,2020-04-02,94,"Science Fiction, Horror, Action, Adventure",en
We Can Be Heroes,0,0,6.028,762,2020-12-25,97,"Family, Action, Fantasy, Comedy",en
The Social Dilemma,0,0,7.466,1566,2020-01-26,94,"Documentary, Drama",en
You Should Have Left,0,0,6.01,763,2020-06-18,93,"Horror, Thriller",en
Girl,0,0,6.1,212,2020-12-11,90,Thriller,en
Delicious Tutor,0,0,0.0,0,2020-04-03,70,Romance,ko
"Happy Halloween, Scooby-Doo!",0,0,7.813,232,2020-10-06,77,"Family, Animation, Mystery, Comedy",en
Charm City Kings,0,0,7.856,463,2020-01-27,125,Drama,en
Host,100000,443807,6.5,909,2020-12-04,57,"Horror, Thriller, Mystery",en
Vampires vs. the Bronx,0,0,5.716,290,2020-10-02,86,"Comedy, Horror",en
Alone,0,0,6.335,710,2020-09-10,98,"Thriller, Horror",en
Run,1700000,5184368,7.26,2520,2020-11-20,90,"Thriller, Horror, Drama",en
Secrets of the Saqqara Tomb,0,0,7.337,132,2020-10-28,113,Documentary,en
The Tax Collector,30000000,942666,5.65,467,2020-08-07,95,"Action, Crime, Drama",en
The Outpost,18000000,2133452,6.899,1021,2020-06-24,123,"War, Drama, History, Action",en
From...,0,0,7.5,2,2020-10-22,10,,en
The Return,0,0,6.8,288,2020-09-05,90,"Horror, Science Fiction",en
Honest Thief,0,31220247,6.495,1706,2020-09-03,99,"Thriller, Action, Crime",en
Emma.,10000000,25200000,7.0,1702,2020-02-13,125,"Comedy, Romance",en
Dragonheart: Vengeance,0,0,6.838,308,2020-02-04,97,"Fantasy, Action, Adventure",en
Scoob!,90000000,28600000,7.1,1675,2020-07-08,93,"Animation, Comedy, Family, Mystery",en
Greyhound,50300000,0,7.413,2847,2020-07-09,92,"War, Action, Drama",en
