title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
El sótano,"[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",0,1327772,"[{'id': 27, 'name': 'Horror'}]",0,es,,2024-10-22,2.428,0,0.0,0
Stars and the Moon,"[{'iso_3166_1': 'CN', 'name': 'China'}]",0,1319107,"[{'id': 18, 'name': 'Drama'}]",0,zh,tt33059610,2024-09-20,2.428,0,0.0,106
Bucha,"[{'iso_3166_1': 'UA', 'name': 'Ukraine'}]",0,1219063,"[{'id': 18, 'name': 'Drama'}]",0,uk,tt24373036,2024-11-07,2.428,0,0.0,118
The G,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",0,1190836,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3,en,tt29486765,2024-06-07,2.428,0,7.667,106
Cerises au marasquin,[],0,1157443,"[{'id': 18, 'name': 'Drama'}]",0,fr,,2023-08-16,2.428,0,0.0,0
Volkov Origin,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,900410,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",22,en,tt10928372,2022-04-01,2.428,0,6.3,0
Super Mario Bros: The Lasanga Workprint,[],0,1280686,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",0,en,,2024-02-01,2.427,48000000,0.0,111
House of Chains,[],0,1007442,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}]",16,en,tt21335046,2022-09-11,2.427,0,6.6,87
NEGOBOY,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1304755,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0,pt,,2024-10-18,2.426,0,0.0,0
Khaled & Nema,[],0,1279895,"[{'id': 18, 'name': 'Drama'}]",0,ar,,2024-02-08,2.426,0,0.0,0
