title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
Deadpool & Wolverine,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1326387384,533535,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",4056,en,tt6263850,2024-07-24,5099.804,200000000,7.7,128
Despicable Me 4,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",953140610,519182,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",1895,en,tt7510222,2024-06-20,2524.611,100000000,7.142,94
Speak No Evil,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",57652430,1114513,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",524,en,tt27534307,2024-09-11,2281.291,15000000,7.343,110
Wolfs,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,877817,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",383,en,tt14257582,2024-09-20,1693.793,0,6.594,108
The Crow,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",13690814,957452,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",486,en,tt1340094,2024-08-21,1690.146,50000000,5.441,111
The Substance,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10492678,933260,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",236,en,tt17526714,2024-09-07,1595.704,17500000,7.3,141
Inside Out 2,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1682636477,1022789,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4167,en,tt22022452,2024-06-11,1561.87,200000000,7.639,97
Joker: Folie à Deux,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",81100000,889737,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",454,en,tt11315808,2024-10-01,1372.519,195000000,5.8,138
Kill 'em All 2,"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1215162,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",68,en,tt6549510,2024-09-24,1369.344,0,6.956,85
Project Silence,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,726139,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",112,ko,tt25808194,2024-07-11,1331.711,14750000,6.808,96
The Wild Robot,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",53989150,1184918,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",114,en,tt29623480,2024-09-12,1328.503,78000000,7.961,102
Beetlejuice Beetlejuice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",374115014,917496,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",810,en,tt2049403,2024-09-04,1105.772,100000000,7.087,105
It Ends with Us,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",334836337,1079091,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",688,en,tt10655524,2024-08-07,1085.011,25000000,7.023,131
Joker,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1078958629,475557,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",25324,en,tt7286456,2019-10-01,974.076,55000000,8.2,122
Hijack 1971,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",12971962,1147710,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",50,ko,tt31624258,2024-06-21,968.532,0,5.94,100
Bad Boys: Ride or Die,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",402529640,573435,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",2115,en,tt4919268,2024-06-05,927.275,100000000,7.535,115
King of Killers,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1024127,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",125,en,tt14057604,2023-09-01,923.994,0,6.484,91
Blink Twice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",43555474,840705,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",578,en,tt14858658,2024-08-21,891.827,20000000,6.763,103
TMZ Presents: The Downfall of Diddy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1284157,"[{'id': 99, 'name': 'Documentary'}, {'id': 80, 'name': 'Crime'}]",8,en,tt32205145,2024-04-28,789.468,0,5.625,68
IF,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",186240904,639720,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",919,en,tt11152168,2024-05-08,753.332,110000000,7.288,104
Hounds of War,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,949484,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",74,en,tt12972134,2024-08-29,734.631,0,6.453,94
Borderlands,"[{'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",30863794,365177,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",648,en,tt4978420,2024-08-07,723.922,115000000,5.888,101
Transformers One,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",71822359,698687,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]",119,en,tt8864596,2024-09-11,704.262,75000000,7.4,104
Padre no hay más que uno 4: Campanas de boda,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",20271,1030076,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",26,es,tt29871729,2024-07-17,696.084,0,6.096,99
Apartment 7A,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,807339,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",83,en,tt14371860,2024-09-20,633.345,0,5.873,106
Outlaw,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1186947,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",71,pt,tt32276312,2024-06-20,588.225,0,5.993,80
Bangkok Breaking: Heaven and Hell,"[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",0,1337309,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18,th,tt31158592,2024-09-26,574.462,0,6.833,147
Alien: Romulus,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",341521150,945961,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",1123,en,tt18412256,2024-08-13,565.572,80000000,7.049,119
Officer Black Belt,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,1139817,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",169,ko,tt28494829,2024-09-10,546.842,0,7.858,108
The Garfield Movie,"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",230295748,748783,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",991,en,tt5779228,2024-04-30,540.855,60000000,7.11,101
Saving Bikini Bottom: The Sandy Cheeks Movie,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,831815,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",0,en,tt23063732,2024-10-18,532.81,100000000,0.0,87
A Quiet Place: Day One,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",260894737,762441,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1898,en,tt13433802,2024-06-26,528.224,67000000,6.785,99
Flow,"[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'LV', 'name': 'Latvia'}]",0,823219,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",45,xx,tt4772188,2024-08-30,509.302,0,8.933,84
Twisters,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",369590675,718821,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1514,en,tt12584954,2024-07-10,502.62,155000000,6.972,123
Subservience,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1064028,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",161,en,tt24871974,2024-08-15,493.829,0,6.594,105
Descendants: The Rise of Red,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,974262,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",331,en,tt20202136,2024-07-11,484.971,0,6.968,92
Kill,"[{'iso_3166_1': 'IN', 'name': 'India'}]",5400000,1160018,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",196,hi,tt28259207,2024-07-03,480.385,3000000,7.153,105
The Platform 2,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",0,1125510,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",275,es,tt27729779,2024-09-27,477.147,0,5.675,100
Kingdom of the Planet of the Apes,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",397366385,653346,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",2978,en,tt11389872,2024-05-08,476.56,160000000,7.116,145
Beezel,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1291594,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",15,en,tt28999532,2024-09-20,475.008,0,6.333,82
Chapel,[],0,1012148,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",20,en,tt12881604,2024-01-17,472.034,0,5.975,92
Amber Alert,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1248753,"[{'id': 53, 'name': 'Thriller'}]",47,en,tt31450182,2024-09-27,470.763,0,5.6,91
Afraid,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12567788,1062215,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",184,en,tt24577462,2024-08-28,464.869,12000000,6.299,84
Beetlejuice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",84554197,4011,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",7208,en,tt0094721,1988-03-30,449.218,15000000,7.375,92
Terrifier 3,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1034541,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2,en,tt27911000,2024-10-09,444.773,2000000,9.0,125
Prey,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1129598,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",243,en,tt27682129,2024-03-15,434.821,0,6.292,86
Skinford 2: The Curse,[],0,1358752,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1,es,tt27303284,2024-05-20,426.947,0,2.0,0
Kung Fu Games,[],0,1329912,"[{'id': 28, 'name': 'Action'}]",17,en,tt31381457,2024-08-23,415.25,0,6.4,94
God of Pain,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1201734,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",8,en,tt14909408,2024-08-20,388.77,0,6.75,100
Furiosa: A Mad Max Saga,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",172775791,786892,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",3195,en,tt12037194,2024-05-22,376.588,170000000,7.55,149
Godzilla x Kong: The New Empire,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",567156493,823464,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",3655,en,tt14539740,2024-03-27,375.049,150000000,7.16,115
The Convert,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",692018,1066262,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",79,en,tt20113412,2024-03-14,374.158,0,6.089,119
The Union,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,704239,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",720,en,tt12610390,2024-08-15,372.298,0,6.266,109
Twilight of the Warriors: Walled In,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",95335412,923667,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",180,cn,tt20316748,2024-04-23,372.007,38400000,6.494,125
"Miraculous World: Paris, Tales of Shadybug and Claw Noir","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'KR', 'name': 'South Korea'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",0,1147400,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",459,fr,tt29259099,2023-10-21,370.756,0,7.173,48
10 Lives,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,567811,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",90,en,tt7959138,2024-04-18,365.106,0,8.3,84
Longlegs,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",102469694,1226578,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",989,en,tt23468450,2024-05-31,364.747,10000000,6.669,101
Civil War,"[{'iso_3166_1': 'FI', 'name': 'Finland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",121695834,929590,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",2501,en,tt17279496,2024-04-10,363.504,50000000,6.931,109
An Ideal Father,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1219685,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",98,fr,tt32355576,2024-04-21,360.804,0,6.388,90
Terrifier 2,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",15387633,663712,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1765,en,tt10403420,2022-10-06,360.062,250000,6.756,138
Rebel Ridge,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,646097,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",796,en,tt11301886,2024-08-27,353.206,0,7.015,132
Kung Fu Panda 4,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",543900620,1011985,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",2565,en,tt21692408,2024-03-02,352.637,80000000,7.098,94
Mantra Warrior: The Legend of The Eight Moons,"[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",0,1134424,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",27,th,tt28959712,2023-10-11,351.854,0,6.407,90
Duchess,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",0,1005076,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",18,en,tt18300732,2024-08-01,351.043,0,6.333,113
Darkness of Man,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1049574,"[{'id': 28, 'name': 'Action'}]",130,en,tt23173980,2024-05-07,342.356,5000000,6.673,108
The Well,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1091267,"[{'id': 27, 'name': 'Horror'}]",53,en,tt26754354,2024-08-01,339.591,0,5.736,91
Terrifier,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",416322,420634,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2060,en,tt4281724,2018-01-25,330.029,100000,6.453,85
Venom: The Last Dance,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,912649,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",0,en,tt16366836,2024-10-23,317.03,110000000,0.0,0
Dragonkeeper,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",5427272,588648,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",111,zh,tt7093904,2024-04-11,316.685,25600000,7.275,99
Wanted Man,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,666035,"[{'id': 28, 'name': 'Action'}]",71,en,tt15791574,2024-04-01,314.772,0,6.88,85
Trap,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",82406909,1032823,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]",1267,en,tt26753003,2024-07-31,311.433,30000000,6.525,105
Dune: Part Two,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",711844359,693134,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",5343,en,tt15239678,2024-02-27,309.729,190000000,8.16,167
John Wick: Chapter 4,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",440157245,603692,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6375,en,tt10366206,2023-03-22,309.306,90000000,7.737,170
Gunner,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,5492,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",85,en,tt12598606,2024-08-16,307.183,20000000,5.3,90
Harold and the Purple Crayon,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",24982787,826510,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",147,en,tt1609486,2024-07-31,303.501,40000000,7.1,90
The Killer,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,970347,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",253,en,tt1121948,2024-08-22,302.421,30000000,6.611,126
BLUE LOCK THE MOVIE -EPISODE NAGI-,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",11201738,1104844,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",47,ja,tt28671146,2024-04-19,301.34,0,7.085,91
Late Night with the Devil,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11902746,938614,"[{'id': 27, 'name': 'Horror'}]",921,en,tt14966898,2024-03-19,286.702,2000000,7.3,93
"Miraculous World, London: At the Edge of Time","[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1147416,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",7,fr,tt13701202,2024-10-05,286.345,0,6.6,49
My Spy The Eternal City,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1048241,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",294,en,tt12930350,2024-07-18,283.945,0,6.672,112
Salem's Lot,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,748230,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",141,en,tt10245072,2024-10-03,283.882,0,6.3,113
Cuckoo,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",6470705,869291,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",122,en,tt12349832,2024-08-02,278.536,7000000,5.758,103
Salitan,"[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",0,1226293,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2,tl,tt31240702,2024-02-16,277.943,0,1.5,0
Migration,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",298776052,940551,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1725,en,tt6495056,2023-12-06,277.588,72000000,7.446,83
Jackpot!,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1094138,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",507,en,tt26940324,2024-08-13,276.741,0,6.437,107
The Jack in the Box: Rises,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",771460,1207898,"[{'id': 27, 'name': 'Horror'}]",109,en,tt26628641,2024-01-18,275.962,0,6.885,92
Justice League: Crisis on Infinite Earths Part Three,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1209290,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",195,en,tt30150917,2024-07-15,272.047,0,7.51,99
Strange Darling,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3504687,1029281,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",92,en,tt22375054,2024-08-22,271.705,4000000,6.957,97
Coraline,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",172750668,14836,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",7903,en,tt0327597,2009-02-05,268.093,60000000,7.886,100
Gracie & Pedro: Pets to the Rescue,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",664443,1207830,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",11,en,tt29258548,2024-05-01,262.058,0,7.273,89
Corpse Bride,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",118133252,3933,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",9002,en,tt0121164,2005-09-12,258.193,40000000,7.567,77
The Mouse Trap,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",5737,1225377,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",32,en,tt30743549,2024-08-23,257.449,800000,4.75,80
The Lonely Man with the Ghost Machine,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1196980,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",5,en,tt29544000,2024-03-23,256.48,0,4.2,90
Mayhem!,"[{'iso_3166_1': 'FR', 'name': 'France'}]",1500000,959092,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",156,fr,tt19319352,2023-06-28,248.963,4920000,6.667,99
The Batman,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",771000000,414906,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",10099,en,tt1877830,2022-03-01,248.62,185000000,7.672,177
