title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Deadpool & Wolverine,200000000,1331689622,7.737,4138,2024-07-24,128,"Action, Comedy, Science Fiction",en
Despicable Me 4,100000000,953140610,7.138,1907,2024-06-20,94,"Animation, Family, Comedy, Action",en
Project Silence,14750000,0,6.849,116,2024-07-11,96,"Action, Thriller, Horror, Science Fiction",ko
Speak No Evil,15000000,67344345,7.343,547,2024-09-11,110,"Horror, Thriller",en
The Substance,17500000,16846463,7.3,241,2024-09-07,141,"Science Fiction, Horror, Comedy, Drama",en
The Crow,50000000,13690814,5.498,502,2024-08-21,111,"Action, Fantasy, Horror, Thriller, Crime",en
Inside Out 2,200000000,1682636477,7.636,4185,2024-06-11,97,"Animation, Family, Adventure, Comedy, Drama",en
Wolfs,85,0,6.597,397,2024-09-20,108,"Comedy, Thriller, Action",en
Joker: Folie à Deux,195000000,114678467,5.777,526,2024-10-01,138,"Drama, Crime, Thriller",en
The Wild Robot,78000000,100730125,8.0,123,2024-09-12,102,"Animation, Science Fiction, Family",en
Kill 'em All 2,0,0,6.979,73,2024-09-24,85,"Action, Crime, Thriller",en
Beetlejuice Beetlejuice,100000000,402822428,7.139,859,2024-09-04,105,"Comedy, Fantasy, Horror",en
It Ends with Us,25000000,334836337,7.045,706,2024-08-07,131,"Romance, Drama",en
TMZ Presents: The Downfall of Diddy,0,0,5.6,8,2024-04-28,68,"Documentary, Crime",en
Bad Boys: Ride or Die,100000000,402529640,7.53,2133,2024-06-05,115,"Action, Crime, Thriller, Comedy",en
Bangkok Breaking: Heaven and Hell,0,0,6.789,19,2024-09-26,147,"Action, Crime, Drama, Thriller",th
Hijack 1971,0,14,6.0,51,2024-06-21,100,"Crime, Action, Thriller",ko
Blink Twice,20000000,43555474,6.785,587,2024-08-21,103,"Mystery, Thriller, Horror",en
The Platform 2,0,0,5.713,312,2024-09-27,100,"Science Fiction, Thriller, Drama, Horror",es
Hounds of War,0,0,6.429,78,2024-08-29,94,"Action, Thriller",en
Borderlands,115000000,30863794,5.88,654,2024-08-07,101,"Action, Science Fiction, Comedy",en
Skinford 2: The Curse,0,0,2.0,1,2024-05-20,0,"Thriller, Action",es
Flow,0,0,8.939,49,2024-08-30,84,"Animation, Fantasy, Adventure",xx
IF,110000000,186240904,7.288,920,2024-05-08,104,"Comedy, Fantasy, Family",en
Transformers One,75000000,97058804,7.4,121,2024-09-11,104,"Animation, Science Fiction, Adventure, Family, Action",en
Terrifier 3,2000000,0,7.7,5,2024-10-09,125,"Horror, Thriller",en
Padre no hay más que uno 4: Campanas de boda,0,20271,6.1,27,2024-07-17,99,"Family, Comedy",es
Alien: Romulus,80000000,341521150,7.048,1124,2024-08-13,119,"Horror, Science Fiction, Action",en
Outlaw,0,0,6.007,76,2024-06-20,80,"Action, Crime, Drama",pt
Apartment 7A,0,0,6.006,89,2024-09-20,106,"Horror, Thriller",en
Officer Black Belt,0,0,7.819,174,2024-09-10,108,"Action, Comedy, Crime",ko
A Quiet Place: Day One,67000000,260894737,6.783,1903,2024-06-26,99,"Horror, Science Fiction, Thriller",en
The Garfield Movie,60000000,230295748,7.111,995,2024-04-30,101,"Animation, Comedy, Family, Adventure, Action",en
Twisters,155000000,369590675,6.972,1517,2024-07-10,123,"Action, Adventure, Thriller",en
Subservience,0,0,6.64,164,2024-08-15,105,"Science Fiction, Thriller, Horror",en
Saving Bikini Bottom: The Sandy Cheeks Movie,100000000,0,0.0,0,2024-10-18,87,"Animation, Comedy, Adventure, Family",en
"Miraculous World, London: At the Edge of Time",0,0,6.556,9,2024-10-05,49,"Animation, Adventure, Action, Fantasy",fr
Salem's Lot,0,0,6.288,160,2024-10-03,113,"Horror, Mystery",en
Kingdom of the Planet of the Apes,160000000,397366385,7.116,2981,2024-05-08,145,"Science Fiction, Adventure, Action",en
Kill,3000000,5400000,7.153,196,2024-07-03,105,"Action, Crime, Thriller, Drama",hi
Chapel,0,0,5.975,20,2024-01-17,92,"Mystery, Thriller",en
Strange Darling,4000000,3504687,6.929,99,2024-08-22,97,"Horror, Crime, Thriller",en
Gracie & Pedro: Pets to the Rescue,0,664443,7.0,12,2024-05-01,89,"Animation, Adventure, Comedy, Family",en
Prey,0,0,6.292,243,2024-03-15,86,"Action, Thriller, Horror",en
Afraid,12000000,12567788,6.282,186,2024-08-28,84,"Horror, Science Fiction, Thriller",en
Kung Fu Games,0,0,6.167,18,2024-08-23,94,Action,en
Furiosa: A Mad Max Saga,170000000,172775791,7.551,3198,2024-05-22,149,"Action, Adventure, Science Fiction",en
Beezel,0,0,6.375,16,2024-09-20,82,"Horror, Thriller",en
Amber Alert,0,0,5.6,47,2024-09-27,91,"Thriller, Horror",en
God of Pain,0,0,6.75,8,2024-08-20,100,"Horror, Science Fiction, Thriller",en
Godzilla x Kong: The New Empire,150000000,567156493,7.16,3656,2024-03-27,115,"Action, Adventure, Science Fiction",en
Kung Fu Panda 4,80000000,543900620,7.099,2568,2024-03-02,94,"Animation, Family, Fantasy, Action",en
Descendants: The Rise of Red,0,0,6.968,331,2024-07-11,92,"Fantasy, Adventure, Family, Comedy",en
The Convert,0,692018,6.1,79,2024-03-14,119,"Action, Drama",en
Longlegs,10000000,102469694,6.667,993,2024-05-31,101,"Horror, Crime",en
Twilight of the Warriors: Walled In,38400000,95335412,6.5,181,2024-04-23,125,"Action, Adventure, Crime, Thriller",cn
Civil War,50000000,0,6.93,2504,2024-04-10,109,"War, Action, Drama",en
10 Lives,0,0,8.302,91,2024-04-18,84,"Animation, Comedy, Family, Fantasy",en
Rebel Ridge,0,0,7.019,807,2024-08-27,132,"Crime, Action, Thriller, Drama",en
Venom: The Last Dance,110000000,0,0.0,0,2024-10-23,0,"Action, Science Fiction, Adventure",en
The Well,0,0,5.736,53,2024-08-01,91,Horror,en
Salitan,0,0,1.5,2,2024-02-16,0,"Drama, Romance",tl
An Ideal Father,0,0,6.388,98,2024-04-21,90,"Drama, TV Movie",fr
Justice League: Crisis on Infinite Earths Part Three,0,0,7.485,197,2024-07-15,99,"Animation, Science Fiction, Action",en
Duchess,0,0,6.333,18,2024-08-01,113,"Action, Crime, Thriller",en
Dragonkeeper,25600000,5427272,7.275,111,2024-04-11,99,"Action, Adventure, Animation, Family, Fantasy",zh
Wanted Man,0,0,6.88,71,2024-04-01,85,Action,en
